LICENSE,NAME,ADDRESS,CITY,ST,ZIP,COUNTY,OWNER,OPR FNAME,OPR LNAME,TELEPHONE
18D0326051,DON L PERKINS MD,1724 KENTON STREET SUITE 2A,HOPKINSVILLE,KY,42240,CHRISTIAN,,KELLY,TATE,(270) 885-2091
KY22002380,DOUGLAS J NESBITT MD,120 N EAGLE CREEK DR SUITE 460,LEXINGTON,KY,40509,FAYETTE,,,,(859) 263-7248
KY22020476,"DOWNEY EYE CLINIC C/O HUFFMAN & HUFFMAN, PSC",301 BURKESVILLE STREET,COLUMBIA,KY,42728,ADAIR,,,,(270) 384-5990
KY22001147,DR AL SPEACH BLUEGRASS ENT,3080 HARRODSBURG RD 200,LEXINGTON,KY,40503,FAYETTE,,,,(606) 255-8037
KY22024155,DR ALI HAIDER,LOUISVILLE CORNEA 2932 BRECKENRIDGE LANE #5,LOUISVILLE,KY,40220,JEFFERSON,,,,(502) 883-1015
KY22000248,DR B A ARANAS PSC-WARFIELD HEALTHCARE,ROUTE 40 PO BOX 303,WARFIELD,KY,41267,MARTIN,,,,(606) 395-6476
KY22001956,DR BRIAN ANDREAS AND SUZANNE PICA,505 SHOPPERS DR SUITES 1 & 2,WINCHESTER,KY,40391,CLARK,,,,(606) 744-1358
KY22000609,DR BUTER & ASSOCIATES PLLC,2603 KENTUCKY AVE SUITE 303,PADUCAH,KY,42003,MCCRACKEN,,,,(502) 443-2900
KY22003098,DR BUTLER AND ASSOCIATES,134 PHILLIPS DRIVE,WICKLIFFE,KY,42087,BALLARD,,,,(270) 335-3335
KY22000597,DR CHARLES MATHIS OFFICE,975 HOPKINSVILLE RD,RUSSELLVILLE,KY,42276,LOGAN,,,,(270) 725-9090
KY22002376,DR ELIZABETH H OTTMAN,"2851 NEW HARTFORD ROAD, SUITE B",OWENSBORO,KY,42303,DAVIESS,,,,(270) 688-6035
KY22001165,DR ELIZABETH SEBREE,"2409 RING ROAD, SUITE 101",ELIZABETHTOWN,KY,42701,HARDIN,,,,(270) 234-8499
KY22013906,DR FOWLES OFFICE,942 B WEST MAIN STREET,MOUNT VERNON,KY,40456,ROCKCASTLE,,,,(859) 358-1023
KY22002529,DR HARINDER S GREWALL,"101 W, BEAR TRACK RD",CAMPBELLSVILLE,KY,42718,TAYLOR,,,,(270) 849-2488
KY22008406,DR K D GIBSON,905 W RUSSELL ROAD,ELKHORN CITY,KY,41522,PIKE,,,,(606) 754-4158
KY22001140,"DR NAIR INTERNAL MEDICINE, PLLC",8442 DIXIE HIGHWAY,LOUISVILLE,KY,40258,JEFFERSON,,,,(502) 638-4280
KY22028154,"DR RAVINDER BHAGRATH, MD, PSC",255 CHURCH STREET STE 203,PIKEVILLE,KY,41501,PIKE,,,,(606) 432-9456
KY22003080,DR ROBERT R CUNNINGHAM,341 BOGLE STREET SUITE A,SOMERSET,KY,42503,PULASKI,,,,(606) 676-8186
KY22021459,DR SANDA CRNKIC DBA SPINECARE CHIROPRACTIC,607 S MAIN ST,FRANKLIN,KY,42134,SIMPSON,,,,(270) 586-8740
KY22012990,"DR THOMAS D JOHNSON, PLLC",532 N BARDSTOWN ROAD,MOUNT WASHINGTON,KY,40047,BULLITT,,,,(502) 955-5800
KY22002193,"DR WILLIAM C POWELL, PSC",106 N CROSS ST,ALBANY,KY,42602,CLINTON,,,,(606) 387-6631
KY22021779,"DR WILLIAM M PARSLEY, MD, PSC","5129 DIXIE HWY, STE 301",LOUISVILLE,KY,40216,JEFFERSON,,,,(502) 585-5249
KY22021780,"DR WILLIAM M PARSLEY, MD, PSC",103 DIAGNOSTIC DRIVE SUITE A,FRANKFORT,KY,40601,FRANKLIN,,,,(502) 585-5249
KY22001438,DR WM MICHAEL CARTER,606 NORTH MAIN STREET,TOMPKINSVILLE,KY,42167,MONROE,,,,(502) 487-6161
KY22001317,DRS BORDERS & ASSOCIATES PSC,2101 NICHOLASVILLE RD SUITE 106,LEXINGTON,KY,40503,FAYETTE,,,,(606) 278-5926
KY22002272,DRS HENDREN & LOCKETT,107 PERRY AVENUE,BLOOMFIELD,KY,40008,NELSON,,,,(502) 252-9965
18D0695151,"DRS HINKEBEIN, DAVIS, MCCORMICK, PLLC",9905 SHELBYVILLE ROAD,LOUISVILLE,KY,40223,JEFFERSON,,,DAVIS,(502) 425-5166
KY22015536,"DRS HINKEBEIN, DAVIS, MCCORMICK PLLC",9811 BROWNSBORO ROAD,LOUISVILLE,KY,40241,JEFFERSON,,,,(502) 339-2827
18D0321324,"DRS SCHREIBER, HORNADAY, COSTEL, BRYANT,","4002 KRESGE WAY, SUITE 100",LOUISVILLE,KY,40207,JEFFERSON,,ESTHER,COSTEL,(502) 897-1121
KY22002128,DWIGHT E LEWIS MD PSC,HARRISON MEM PROFESSIONAL ARTS BLDG,CYNTHIANA,KY,41031,HARRISON,,,,(606) 234-1173
18D0323770,EAST BERNSTADT MEDICAL CLINIC,2659 NORTH LAUREL ROAD,EAST BERNSTADT,KY,40729,LAUREL,,DAVID,HAYS,(606) 843-6195
KY22001017,EAST KENTUCKY MED GRP PSC,50 WEDDINGTON BRANCH RD,PIKEVILLE,KY,41502,PIKE,,,,(606) 432-2172
KY22029681,EAST KENTUCKY MEDICAL ASSOCIATES,"255 CHURCH STREET, STE 102B",PIKEVILLE,KY,41501,PIKE,,,,(606) 218-6077
KY22003448,"EAST KY PULMONARY AND SLEEP DISORDER CENTER, INC",9350 US HWY 23 SOUTH SUITE 104,STANVILLE,KY,41659,FLOYD,,,,(606) 285-3361
KY22002745,EAST LOUISVILLE DERMATOLOGY PSC,4912 US HIGHWAY 42 STE 208,LOUISVILLE,KY,40222,JEFFERSON,,,,(502) 426-9565
18D0321388,EAST LOUISVILLE PEDIATRICS PSC,4171 WESTPORT RD,LOUISVILLE,KY,40207,JEFFERSON,,ROBERT,BELZA,(502) 896-8868
18D0932574,EAST LOUISVILLE PEDIATRICS PSC,6112 CRESTWOOD STATION,CRESTWOOD,KY,40014,OLDHAM,,ROBERT,BELZA,(502) 241-6905
KY22028655,EAST SIDE FAMILY MEDICAL PLLC,742 EAST MAIN ST STE B,GLASGOW,KY,42141,BARREN,,,,(270) 659-0717
KY22000213,"EASTERN KENTUCKY CARE, INC",141 WEDDINGTON BRANCH ROAD,PIKEVILLE,KY,41501,PIKE,,,,(606) 437-0662
KY22025995,"EASTERN KENTUCKY FAMILY MEDICINE, PLLC","713 BOARDWAY, SUITE 301",PAINTSVILLE,KY,41240,JOHNSON,,,,(606) 789-4255
KY22029183,"EASTERN KENTUCKY RECOVERY, LLC",5860 MAIN STREET,CLAY CITY,KY,40312,POWELL,,,,(606) 612-5001
18D0937845,EASTERN KY TENDER CARE PEDIATRICS LCC,4851 KENTUCKY ROUTE 321,PRESTONSBURG,KY,41653,FLOYD,,ANTOIN,HANA,(606) 886-1173
KY22001484,EDDYVILLE FAMILY MEDICAL,209 W MAIN STREET,EDDYVILLE,KY,42038,LYON,,,,(270) 388-0620
KY22028552,EDGEWOOD URGENT CARE,168 BARNWOOD DR,EDGEWOOD,KY,41017,KENTON,,,,(859) 331-4159
KY22003083,EDWARDS CLINIC,204 TOWN BRANCH ROAD,MANCHESTER,KY,40962,CLAY,,,,(606) 598-8766
KY22020135,"EGNER CHIROPRACTIC AND REHABILITATION CENTER, PLLC","619 OLD SYMSONIA ROAD, SUITE B",BENTON,KY,42025,MARSHALL,,,,(270) 527-3050
KY22027150,ELITE HEALTHCARE,1102 SOUTH MAIN STREET,LONDON,KY,40741,LAUREL,,,,(606) 862-0400
KY22023243,ELITE INTERNAL MEDICINE,"9557 US HIGHWAY 42, SUITE A",PROSPECT,KY,40059,JEFFERSON,,,,(000) 502-2752
18D0326926,ELIZABETHTOWN HEMATOLOGY ONCOLOGY PLC,1107 WOODLAND DRIVE SUITE 105,ELIZABETHTOWN,KY,42701,HARDIN,,YUSEF,DESHMUKH,(270) 769-6665
18D0326943,ELIZABETHTOWN PEDIATRICS,"103 FINANCIAL PL, SUITE A",ELIZABETHTOWN,KY,42701,HARDIN,,YASIR,SAIFULLAH,(270) 769-0110
KY22002358,ELIZABETHTOWN PHYSICIANS FOR WOMEN,1115 WOODLAND DR,ELIZABETHTOWN,KY,42701,HARDIN,,,,(502) 769-5963
KY22027549,"ELKHORN DERMATOLOGY, PLLC",304 BOSTON SQUARE,GEORGETOWN,KY,40324,SCOTT,,,,(502) 316-9425
KY22027723,"ELKHORN PRIMARY CARE, LLC",112 EAST MAIN STREET,ELKHORN CITY,KY,41522,PIKE,,,,(606) 754-5793
KY22013922,ELKTON CLINIC,713 WEST MAIN STREET,ELKTON,KY,42220,TODD,,,,(270) 265-5353
KY22005724,"ELLEN WEBB, MD","220 FRANKFORT STREET, SUITE 2",VERSAILLES,KY,40383,WOODFORD,,,,(859) 873-0905
KY22001079,EMMANUEL YUMANG MD PLLC,73 THOMPSON POYNTER ROAD SUITE A,LONDON,KY,40741,LAUREL,,,,(606) 877-1446
KY22020018,ENDOCRINOLOGY CENTER OF LAKE CUMBERLAND,"349 BOGLE STREET, SUITE A",SOMERSET,KY,42503,PULASKI,,,,(606) 451-6060
KY22024117,ENT BOWLING GREEN,421 US 31-W,BOWLING GREEN,KY,42101,WARREN,,,,(270) 782-7768
KY22028219,ENT BOWLING GREEN FRANKLIN,"1100 BROOKHAVEN ROAD, STE 101",FRANKLIN,KY,42134,SIMPSON,,,,(270) 782-7768
KY22000055,ENTLC,491 TUCKER DRIVE,MAYSVILLE,KY,41056,MASON,,,,(606) 759-4852
KY22022436,EPHRAIM MCDOWELL BEHAVIORAL HEALTH,SPECIALTY CENTER ANNEX,DANVILLE,KY,40422,BOYLE,,,,(859) 239-5570
KY22001352,EPHRAIM MCDOWELL CENTRAL KENTUCKY SURGEONS,130 DANIEL DRIVE,DANVILLE,KY,40422,BOYLE,,,,(859) 236-2222
18D0909448,EPHRAIM MCDOWELL COMMONWEALTH CANCER CENTER,520 TECHWOOD DRIVE SUITE 100,DANVILLE,KY,40422,BOYLE,,THOMAS,BAEKER,(606) 236-2203
KY22000513,EPHRAIM MCDOWELL DEDMAN PRIMARY CARE,466 LINDEN AVE,HARRODSBURG,KY,40330,MERCER,,,,(859) 734-5173
KY22002104,EPHRAIM MCDOWELL FAMILY & INTERNAL MEDICINE,"105 PONDER COURT, SUITE 104",DANVILLE,KY,40422,BOYLE,,,,(606) 236-4216
KY22002065,EPHRAIM MCDOWELL GARRARD CLINIC,405 DANVILLE ST,LANCASTER,KY,40444,GARRARD,,,,(606) 792-2124
KY22018339,EPHRAIM MCDOWELL HEART AND VASCULAR INSTITUTE,1250 BEN ALI DRIVE,DANVILLE,KY,40422,BOYLE,,,,(859) 236-6621
18D0322371,EPHRAIM MCDOWELL MERCER PEDIATRICS,466 LINDEN AVENUE,HARRODSBURG,KY,40330,MERCER,,PAMELA,JOHNSON,(859) 734-5123
KY22006434,EPHRAIM MCDOWELL SPECIALTY CENTER,216 WEST WALNUT STREET,DANVILLE,KY,40422,BOYLE,,,,(859) 239-5860
KY22000608,EPHRAIM MCDOWELL SPRINGFIELD FAMILY MEDICINE,280 LINCOLN DRIVE,SPRINGFIELD,KY,40069,WASHINGTON,,GAIL,SMOTHERS,(859) 336-9801
KY22023245,EPHRAIM MCDOWELL UROLOGY-DANVILLE,"230 WEST MAIN STREET, SUITE 102",DANVILLE,KY,40422,BOYLE,,,,(000) 859-2369
KY22023244,EPHRAIM MCDOWELL UROLOGY-RUSSELL SPRINGS,"92 JT PETTY DRIVE, SUITE 300",RUSSELL SPRINGS,KY,42642,RUSSELL,,,,(000) 859-2369
KY22001168,ERTEL MEDICINE & PEDIATRICS - WINCHESTER,1520 BOONESBORO ROAD,WINCHESTER,KY,40391,CLARK,,,,(859) 744-0067
KY22003339,"ESTILL MEDICAL CLINIC - DONNA ISFORT, APRN",275 NORTH COURT STREET,IRVINE,KY,40336,ESTILL,,,,(606) 723-2167
KY22026289,ETHAN HEALTH,1623 FOX HAVEN DR,RICHMOND,KY,40475,MADISON,,,,(859) 625-5235
KY22029795,ETHAN HEALTH BURLINGTON,6159 FIRST FINANCIAL DR,BURLINGTON,KY,41005,BOONE,,,,(859) 625-5235
KY22023145,"EYE ASSOCIATES OF SOUTHERN IN, PC",732 HIGH STREET,BRANDENBURG,KY,40108,MEADE,,,,(812) 284-0660
KY22023144,"EYE ASSOCIATES OF SOUTHERN IN, PC",1102 LYNDON LANE STE A,LOUISVILLE,KY,40222,JEFFERSON,,,,(812) 284-0660
KY22020375,"EYE CARE INSTITUTE, THE",1536 STORY AVENUE,LOUISVILLE,KY,40206,JEFFERSON,,,,(502) 589-1500
KY22028429,EYE HEALTH SOLUTIONS,500 WEST BROADWAY,LAWRENCEBURG,KY,40342,ANDERSON,,,,(502) 839-5113
KY22023143,EYE PHYSICIANS OF ELIZABETHTOWN,1109 WOODLAND DRIVE,ELIZABETHTOWN,KY,42701,HARDIN,,,,(270) 765-6066
KY22000822,FAIRVIEW PHYSICIAN NETWORK,227 BURLEY AVE,HOPKINSVILLE,KY,42240,CHRISTIAN,,,,(270) 885-7300
KY22015693,FAIRVIEW PHYSICIANS NETWORK,223 BURLEY AVENUE,HOPKINSVILLE,KY,42240,CHRISTIAN,,,,(270) 887-6565
KY22004521,FAIRVIEW PHYSICIANS NETWORK,222 WEST 18TH STREET,HOPKINSVILLE,KY,42240,CHRISTIAN,,,,(270) 885-5185
KY22003247,FAIRVIEW PHYSICIANS NETWORK,120 NORTH MAIN STREET,TRENTON,KY,42286,TODD,,,,(270) 466-9300
KY22000936,FAIRVIEW PHYSICIANS NETWORK,1717 HIGH STREET SUITE 4B,HOPKINSVILLE,KY,42240,CHRISTIAN,,,,(270) 887-9058
KY22003357,FAITH FAMILY PRACTICE,801 N MAIN STREET,WEST LIBERTY,KY,41472,MORGAN,,,,(606) 743-1422
KY22004761,FAMILY ALLERGY & ASTHMA RESEARCH INSTITUTE,"1700 BLUEGRASS AVENUE, SUITE 400",LOUISVILLE,KY,40215,JEFFERSON,,,,(502) 368-0732
KY22000913,FAMILY AND INTERNAL MEDICINE ASSOCIATE,325 WEST WALNUT STREET STE 600,LEBANON,KY,40033,MARION,,,,(270) 699-9500
KY22003140,FAMILY CARE ASSOCIATES,1120 WEST SHELBY STREET,FALMOUTH,KY,41040,PENDLETON,,,,(859) 654-6966
KY22002599,FAMILY CARE ASSOCIATES PSC,"1210 KY HWY 36E, SUITE 2C",CYNTHIANA,KY,41031,HARRISON,,,,(859) 234-6000
18D0327032,FAMILY CARE CENTER CLARKSON,625 WEST MAIN STREET,CLARKSON,KY,42726,GRAYSON,,VICTOR,DUVALL,(270) 242-2311
18D0326920,FAMILY CARE CENTER-FREEMAN CREEK,100 HELMWOOD PLAZA DRIVE,ELIZABETHTOWN,KY,42701,HARDIN,,PAUL,GERARD,(270) 769-5579
KY22029835,FAMILY CARE CLINIC PLLC DBA FAMILY CLINIC,3190 IRVINE ROAD,RICHMOND,KY,40475,MADISON,,,,(859) 369-0070
KY22002286,FAMILY CARE GROUP,2304 HURSTBOURNE VILLA DRIVE,LOUISVILLE,KY,40299,JEFFERSON,,,,(502) 583-3189
KY22000106,FAMILY CARE OF THE BLUEGRASS,593 EAST MAIN STREET,FRANKFORT,KY,40601,FRANKLIN,,,,(502) 223-0308
KY22000082,FAMILY CARE OF THE BLUEGRASS LAWRENCEBURG,512 SAFFELL STREET,LAWRENCEBURG,KY,40342,ANDERSON,,,,(502) 839-1231
KY22001377,FAMILY CARE PHYSICIANS PSC,2701 CHAMBERLAIN LANE,LOUISVILLE,KY,40245,JEFFERSON,,,,(502) 243-9044
KY22000364,"FAMILY CLINIC, THE",3190 IRVINE ROAD,RICHMOND,KY,40475,MADISON,,,,(859) 369-0070
KY22025153,FAMILY HEALTH CARE ASSOCIATES,359 OLD HWY 421 UNIT B,MANCHESTER,KY,40962,CLAY,,,,(606) 599-0077
KY22025152,FAMILY HEALTH CARE ASSOCIATES 2,3331 HWY 421 S ANNEX BUILDING STE 1,MC KEE,KY,40447,JACKSON,,,,(606) 627-6371
KY22000223,FAMILY HEALTH CARE ASSOCIATES OF,1927 S US HWY 25 E,BARBOURVILLE,KY,40906,KNOX,,,,(606) 546-5789
KY22000021,FAMILY HEALTH CARE CLINIC,1012 CENTER DRIVE,RICHMOND,KY,40475,MADISON,,,,(859) 626-9696
KY22005946,FAMILY HEALTH CENTER - AMERICANA,4805 SOUTHSIDE DRIVE,LOUISVILLE,KY,40214,JEFFERSON,,,,(502) 774-8631
18D0977212,FAMILY MEDICAL CENTER,1463 CAMPBELLSVILLE ROAD,COLUMBIA,KY,42728,ADAIR,,ROBERT,SHIPP,(270) 384-9934
KY22000417,FAMILY MEDICAL SPECIALTY CLINIC,12 JACKSON HEIGHTS DRIVE,JACKSON,KY,41339,BREATHITT,,MELECIO,ABORDO,(606) 693-0199
KY22002214,FAMILY MEDICINE ASSOCIATES OF FLEMINGSBURG,932 ELIZAVILLE AVENUE,FLEMINGSBURG,KY,41041,FLEMING,,,,(606) 849-3374
18D0324728,FAMILY MEDICINE CENTER,"1101 SAINT CHRISTOPHER DRIVE, SUITE 250",ASHLAND,KY,41101,BOYD,,DANIEL,HALL,(606) 836-3196
KY22002981,FAMILY MEDICINE CLINIC OF DANVILLE,640 E LEXINGTON RD,DANVILLE,KY,40422,BOYLE,,,,(859) 236-1250
KY22000394,FAMILY PRACTICE ASSOCIATES,124 DOWELL ROAD,RUSSELL SPRINGS,KY,42642,RUSSELL,,,,(270) 866-2440
KY22004922,FAMILY PRACTICE ASSOCIATES,650 W LINCOLN TRAIL BOULEVARD,RADCLIFF,KY,40160,HARDIN,,,,(270) 352-4601
KY22000616,FAMILY PRACTICE ASSOCIATES MAYSVILLE,2003 OLD MAIN STREET,MAYSVILLE,KY,41056,MASON,,,,(606) 759-7878
18D0949691,FAMILY PRACTICE ASSOCIATES OF LEXINGTON,1775 ALYSHEBA WAY,LEXINGTON,KY,40509,FAYETTE,,KEITH,APPLEGATE,(859) 263-5007
KY22024853,FAMILY PRACTICE AT THE SPRINGS,"2040 HARRODSBURG ROAD, STE 300",LEXINGTON,KY,40503,FAYETTE,,,,(859) 278-5007
KY22000941,FAMILY PRACTICE CENTER,1325 N RACE ST ATT KIM LANDRUM,GLASGOW,KY,42141,BARREN,,,,(270) 651-4797
KY22002274,FAMILY PRACTICE CLINIC,518 WEST GUM STREET,MARION,KY,42064,CRITTENDEN,,,,(270) 965-5238
KY22022646,FAMILY PRACTICE CLINIC OF BOONEVILLE INC,"200 MULBERRY STREET, STE B",BOONEVILLE,KY,41314,OWSLEY,,,,(606) 593-6023
KY22026223,FAMILY PRACTICE OF KENTUCKY LLC,21 CRESTVIEW DRIVE,MANCHESTER,KY,40962,CLAY,,,,(606) 594-1769
KY22029535,FAMILY PRACTICE OF PAINTSVILLE,607 SOUTH MAYO TRAIL SUITE B,PAINTSVILLE,KY,41240,JOHNSON,,,,(606) 789-9020
KY22029541,FAMILY PRACTICE OF PAINTSVILLE,520 N MAYO TRAIL SUITE 6,PAINTSVILLE,KY,41240,JOHNSON,,,,(606) 789-9020
KY22027428,"FAMILY WELLCARE CLINIC, PLLC",805 BARDSTOWN ROAD STE 12,SPRINGFIELD,KY,40069,WASHINGTON,,,,(859) 238-7756
KY22024545,FAST PACE KENTUCKY PLLC,1475 NASHVILLE ROAD,FRANKLIN,KY,42134,SIMPSON,,,,(615) 988-1571
KY22024911,"FAST PACE KENTUCKY, PLLC","127 FOOTHILLS AVE, STE 1",ALBANY,KY,42602,CLINTON,,,,(606) 387-6627
KY22028072,"FAST PACE KENTUCKY, PLLC",145 BROOKEWAY DRIVE,MOUNT WASHINGTON,KY,40047,BULLITT,,,,(931) 253-1110
KY22025011,"FAST PACE KENTUCKY, PLLC",1251 PARIS ROAD,MAYFIELD,KY,42066,GRAVES,,,,(615) 988-1571
KY22028064,"FAST PACE KENTUCKY, PLLC",150 N HWY 27,SOMERSET,KY,42503,PULASKI,,,,(931) 253-1110
KY22028063,"FAST PACE KENTUCKY, PLLC",420 W MARTIN LUTHER KING HWY,MAYSVILLE,KY,41056,MASON,,,,(931) 253-1110
KY22025851,"FAST PACE KENTUCKY, PLLC",506 N 12TH STREET STE A,MURRAY,KY,42071,CALLOWAY,,,,(615) 988-1571
KY22028215,"FAST PACE KENTUCKY, PLLC",1000 WEST PARK DRIVE,LAWRENCEBURG,KY,40342,ANDERSON,,,,(931) 253-1110
KY22026039,"FAST PACE KENTUCKY, PLLC",1023 WEST MAIN STREET,PRINCETON,KY,42445,CALDWELL,,,,(615) 988-1571
KY22026415,"FAST PACE KENTUCKY, PLLC",919 N MAIN STREET,MADISONVILLE,KY,42431,HOPKINS,,,,(270) 228-0592
KY22026570,"FAST PACE KENTUCKY, PLLC",2242 HWY 41 N,HENDERSON,KY,42420,HENDERSON,,,,(270) 971-4832
KY22027087,"FAST PACE KENTUCKY, PLLC",110 S SECOND STREET,CENTRAL CITY,KY,42330,MUHLENBERG,,,,(270) 931-2059
KY22027250,"FAST PACE KENTUCKY, PLLC",1430 N MAIN STREET,BEAVER DAM,KY,42320,OHIO,,,,(270) 775-4483
KY22027251,"FAST PACE KENTUCKY, PLLC",401 MAIN STREET,BENTON,KY,42025,MARSHALL,,,,(270) 906-0369
KY22027252,"FAST PACE KENTUCKY, PLLC",757 W MAIN STREET,LEBANON,KY,40033,MARION,,,,(270) 972-4186
KY22027529,"FAST PACE KENTUCKY, PLLC",1151 W 9TH STREET,RUSSELLVILLE,KY,42276,LOGAN,,,,(270) 847-4033
KY22027530,"FAST PACE KENTUCKY, PLLC",895 NORTH MAIN STREET,MONTICELLO,KY,42633,WAYNE,,,,(606) 396-3006
KY22027531,"FAST PACE KENTUCKY, PLLC",796 WEST BROADWAY STREET,CAMPBELLSVILLE,KY,42718,TAYLOR,,,,(270) 572-4933
KY22027717,"FAST PACE KENTUCKY, PLLC",333 SOUTH MAIN STREET,LEITCHFIELD,KY,42754,GRAYSON,,,,(270) 200-4983
KY22027966,"FAST PACE KENTUCKY, PLLC",1095 MORTON AVE,BARDSTOWN,KY,40004,NELSON,,,,(502) 601-0107
KY22002252,FERTILITY AND ENDOCRINE ASSOCIATES,"4121 DUTCHMANS LANE, SUITE 414",LOUISVILLE,KY,40207,JEFFERSON,,,,(502) 897-2144
KY22015751,FERTILITY FIRST/REPRODUCTIVE ENDOCRINE SERVICES,"6420 DUTCHMANS PARKWAY, SUITE 395",LOUISVILLE,KY,40205,JEFFERSON,,,,(502) 749-6420
KY22028499,FIRST UROLOGY,3900 S DUPONT SQ STE C,LOUISVILLE,KY,40207,JEFFERSON,,,,(812) 282-3899
KY22000485,FIRST UROLOGY PSC,300 HIGH POINT COURT,MOUNT WASHINGTON,KY,40047,BULLITT,,,,(812) 282-3899
KY22013982,FIRST UROLOGY PSC,6801 DIXIE HIGHWAY SUITE 133,LOUISVILLE,KY,40258,JEFFERSON,,,,(502) 584-0651
KY22006567,FIRST UROLOGY PSC,"170 DR ARLA WAY, SUITE 101",LOUISVILLE,KY,40229,JEFFERSON,,,,(812) 282-3899
KY22002436,FIRST UROLOGY PSC,3 AUDUBON PLAZA DRIVE,LOUISVILLE,KY,40217,JEFFERSON,,,,(502) 637-1418
KY22001402,FIRST UROLOGY PSC,"5129 DIXIE HWY, SUITE 307",LOUISVILLE,KY,40216,JEFFERSON,,,,(502) 447-4595
KY22000837,FIRST UROLOGY PSC,3920 S DUPONT SQUARE,LOUISVILLE,KY,40207,JEFFERSON,,,,(502) 721-0116
KY22000836,FIRST UROLOGY PSC,100 EAST MARKET STREET,LOUISVILLE,KY,40202,JEFFERSON,,,,(502) 585-1016
KY22000809,FIRST UROLOGY PSC,1903 WEST HEBRON LANE SUITE 202,SHEPHERDSVILLE,KY,40165,BULLITT,,,,(502) 584-0651
KY22010907,"FIRST UROLOGY, PSC",2400 EASTPOINT PARKWAY SUITE 560,LOUISVILLE,KY,40223,JEFFERSON,,,,(502) 584-0651
KY22000960,"FIRST UROLOGY, PSC",1900 BLUEGRASS AVE SUITE 203,LOUISVILLE,KY,40215,JEFFERSON,,,,(502) 375-0009
KY22001094,"FIRST UROLOGY, PSC",515 HOSPITAL DR #3,SHELBYVILLE,KY,40065,SHELBY,,,,(502) 633-2661
KY22001978,"FIRST UROLOGY, PSC","1023 NEW MOODY LANE, SUITE 202",LA GRANGE,KY,40031,OLDHAM,,,,(502) 897-7172
KY22019070,"FIRST UROLOGY, PSC",8442 DIXIE HIGHWAY,LOUISVILLE,KY,40258,JEFFERSON,,,,(812) 282-3899
KY22005361,"FIRST UROLOGY, PSC","9880 ANGIES WAY, SUITE 130",LOUISVILLE,KY,40241,JEFFERSON,,,,(502) 897-5147
KY22003019,FIRST YOU MEDICAL CENTER PLLC - BEDFORD OFFICE,18 ALEXANDER AVENUE UNIT ONE,BEDFORD,KY,40006,TRIMBLE,,,,(502) 255-0222
KY22001351,FIRST YOU MEDICAL CENTER PLLC - EMINENCE OFFICE,151 EAST BROADWAY,EMINENCE,KY,40019,HENRY,,,,(502) 845-6288
KY22004201,FLATWOODS MEDICAL SPECIALTIES,1109 BELLEFONTE ROAD,FLATWOODS,KY,41139,GREENUP,,,,(606) 836-8086
KY22023896,FLEMING SURIGICAL ASSOCIATES,932 ELIZAVILLE AVE,FLEMINGSBURG,KY,41041,FLEMING,,,,(606) 849-2199
KY22002067,FLEMINGSBURG MEDICAL CLINIC,732 ELIZAVILLE ROAD,FLEMINGSBURG,KY,41041,FLEMING,,,,(606) 849-2323
KY22000260,FLORENCE MEDICAL GROUP,8731-A BANKERS STREET,FLORENCE,KY,41042,BOONE,,,,(859) 282-8840
KY22025515,FM HEALING CENTER,989 GOVERNORS LANE,LEXINGTON,KY,40513,FAYETTE,,,,(859) 575-1518
KY22021798,FOOT SPECIALISTS OF GREATER CINCINNATI,2865 CHANCELLOR DRIVE STE 205,CRESTVIEW HILLS,KY,41017,KENTON,,,,(859) 341-9900
KY22022276,FOREFRONT DERMATOLOGY SC,501 SOUTH 2ND STREET,LOUISVILLE,KY,40202,JEFFERSON,,,,(920) 663-9016
KY22024119,FOREFRONT DERMATOLOGY SC,105 MEDICAL PARK DRIVE SUITE 1,CAMPBELLSVILLE,KY,42718,TAYLOR,,,,(270) 737-4503
KY22001508,FOREFRONT DERMATOLOGY SC,2333 RING ROAD,ELIZABETHTOWN,KY,42701,HARDIN,,MARGARET,MOYE,(270) 737-4503
KY22025954,FOREFRONT DERMATOLOGY SC,159 SOUTH ENGLISH STATION ROAD,LOUISVILLE,KY,40245,JEFFERSON,,,,(502) 753-0056
KY22029012,"FOREFRONT DERMATOLOGY, SC","103 DIAGNOSTIC DR, SUITE C",FRANKFORT,KY,40601,FRANKLIN,,,,(502) 254-2300
KY22024120,"FOREFRONT DERMATOLOGY, SC",100 COMMERCE DRIVE,BRANDENBURG,KY,40108,MEADE,,,,(920) 663-9016
KY22029013,"FOREFRONT DERMATOLOGY, SC","305 MIDDLETOWN PARK PL, STE B",LOUISVILLE,KY,40243,JEFFERSON,,,,(502) 254-2300
KY22025160,FORTE FAMILY PRACTICE,814 MAIN STREET,BENTON,KY,42025,MARSHALL,,,,(270) 564-5988
KY22025955,"FOUNDATIONS PRIMARY CARE, LLC",249 MAIN STREET,CADIZ,KY,42211,TRIGG,,,,(270) 111-2525
KY22000734,FOUR RIVERS INTERNAL MEDICINE PLLC,3131 PARISA DRIVE,PADUCAH,KY,42003,MCCRACKEN,,,,(270) 444-8000
KY22005221,"FRANK LYONS, DO, PSC",775 EAST TOM T HALL BOULEVARD,OLIVE HILL,KY,41164,CARTER,,,,(606) 286-5065
KY22029918,"FRANK R BURNS, MD PLC",13324 SHELBYVILLE ROAD,LOUISVILLE,KY,40223,JEFFERSON,,,,(502) 245-0305
