TYPE,"LICENSE
#",NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,OWNER,"ADM
FIRST","ADM
LAST",TELEPHONE,"LICENSURE
EXPIRATION"
Alcohol and Other Drug Entity Facility,810298,GRAYSON COUNTY DETENTION CENTER SUBSTANCE ABUSE PR,320 SHAW STATION ROAD,LEITCHFIELD,KY,42754,GRAYSON,GRAYSON COUNTY,STACEY,CARNES,(270) 259-3636,7/31/20
Alcohol and Other Drug Entity Facility,810005,GREATER LOUISVILLE COUNSELING CENTER,"332 WEST BROADWAY, SUITE 905",LOUISVILLE,KY,40202,JEFFERSON,"GREATER LOUISVILLE COUNSELING CENTER, LLC",KEITH,MCKENZIE,(502) 587-9737,9/30/20
Alcohol and Other Drug Entity Facility,810295,GREEN RIVER CORRECTIONAL COMPLEX,1200 RIVER ROAD,CENTRAL CITY,KY,42330,MUHLENBERG,COMMONWEALTH OF KENTUCKY,KLAYTOR,BURDEN,(270) 754-5415,6/30/20
Alcohol and Other Drug Entity Facility,810281,"HAND OF HOPE, LLC",2150 CARTER AVENUE,ASHLAND,KY,41101,BOYD,"HAND OF HOPE, LLC",PAUL,VERNIER,(606) 393-5926,11/30/20
Alcohol and Other Drug Entity Facility,810441,HARLAN COUNTY DETENTION CENTER,6000 HIGHWAY 38,EVARTS,KY,40828,HARLAN,HARLAN COUNTY FISCAL COURT,ANGELA,BIELKO,(606) 837-0096,1/31/20
Alcohol and Other Drug Entity Facility,810318,HEALTHY CHOICE CENTER,1 NORTH MAIN STREET,MADISONVILLE,KY,42431,HOPKINS,"HEALTHY CHOICE CENTER, LLC",JOYCE,CROWE,(270) 825-2070,9/30/20
Alcohol and Other Drug Entity Facility,810416,HENDERSON COUNTY JAIL,380 BORAX DRIVE,HENDERSON,KY,42420,HENDERSON,HENDERSON COUNTY FISCAL COURT,FREIDA,CAMPBELL,(270) 827-5586,9/30/20
Alcohol and Other Drug Entity Facility,810240,HILLTOP COUNSELING SERVICES,1721 US 31W BYPASS,BOWLING GREEN,KY,42101,WARREN,HILLTOP COUNSELING SERVICES,MELISSA,SCHOECK,(270) 843-1804,10/31/20
Alcohol and Other Drug Entity Facility,810667,"HOPE CENTER SERVICES, LLC",298 WEST LOUDON AVENUE,LEXINGTON,KY,40508,FAYETTE,"HOPE CENTER SERVICES, LLC",JANICE,JAMES,(859) 721-0149,12/31/19
Alcohol and Other Drug Entity Facility,810620,HOPE CITY REHABILITATION AND TRANSITIONAL HOUSE FO,335 NORTH MAIN STREET,BARBOURVILLE,KY,40906,KNOX,"APPALACHIAN RESTORATION PROJECT, INC.",DANIEL,PHIPPS,(606) 545-7083,5/31/20
Alcohol and Other Drug Entity Facility,810722,HOPE HILL YOUTH SERVICES,529 NORTH MAYSVILLE,MOUNT STERLING,KY,40353,MONTGOMERY,"FAMILY CONNECTION, INC.",REBECCA,THOMAS,(859) 498-0373,8/31/20
Alcohol and Other Drug Entity Facility,810669,HOPE IN THE MOUNTAINS,105 TRIMBLE CHAPEL SQUARE,PRESTONSBURG,KY,41653,FLOYD,"HOPE IN THE MOUNTIANS, INC.",RENEE,MCCOY,(606) 874-0240,12/31/20
Alcohol and Other Drug Entity Facility,810716,HORIZON HEALTH,934 SOUTH LAUREL ROAD,LONDON,KY,40744,LAUREL,KENTUCKY RURAL HEALTH INFORMATION TECHNOLOGY NETWO,FRANKLIN,PERKINS,(606) 657-2030,10/1/20
Alcohol and Other Drug Entity Facility,810051,"HUB CITY SERVICES, LLC",7 PUBLIC SQUARE,ELIZABETHTOWN,KY,42701,HARDIN,"HUB CITY SERVICES, LLC",LAURA,SNYDER,(270) 737-8529,2/29/20
Alcohol and Other Drug Entity Facility,810685,"INFINITE COMMUNITY ACHIEVEMENT, LLC",715 SHAKER DRIVE SUITE 104,LEXINGTON,KY,40504,FAYETTE,"INFINITE COMMUNITY ACHIEVEMENT, LLC",RAZHEDE,HIGHSMITH,(704) 524-3403,3/31/20
Alcohol and Other Drug Entity Facility,810395,"ISAIAH HOUSE, INC",2084 MAIN STREET,WILLISBURG,KY,40078,WASHINGTON,"ISAIAH HOUSE, INC.",MARK,"LAPALME, SR.",(859) 375-9200,7/31/20
Alcohol and Other Drug Entity Facility,810024,JACKSON BEHAVIORAL HEALTH,"1707 CUMBERLAND FALLS HIGHWAY, SUITE #2",CORBIN,KY,40701,KNOX,"JACKSON BEHAVIORAL HEALTH PROFESSIONALS, PLLC",STEPHANIE,BROCK,(606) 526-9500,1/31/20
Alcohol and Other Drug Entity Facility,810632,JAKE KUERTZ CENTER,"100 BROADWAY STREET, SUITE 102",CHAPLIN,KY,40012,NELSON,ISAIAH HOUSE,MIKE,COX,(859) 375-9200,4/30/20
Alcohol and Other Drug Entity Facility,810263,JESSAMINE DUI & SUBSTANCE ABUSE PROGRAM,202 EDGEWOOD DRIVE,NICHOLASVILLE,KY,40356,JESSAMINE,"JESSAMINE DUI & SUBSTANCE ABUSE PROGRAM, LLC",WANDA,BECKLEY,(859) 213-2283,10/31/20
Alcohol and Other Drug Entity Facility,810200,"JOURNEYPURE BOWLING GREEN, LLC",2349 RUSSELLVILLE ROAD,BOWLING GREEN,KY,42101,WARREN,"JOURNEY PURE, LLC",JERRY,LUCAS,(270) 781-3387,5/31/20
Alcohol and Other Drug Entity Facility,810525,KENTUCKIANA CENTER FOR ADDICTION MEDICINE,"700 ENVOY CIRCLE, SUITE 701",LOUISVILLE,KY,40299,JEFFERSON,"A NEWCO, LLC",BRUCE,COHEN,(502) 873-7517,10/31/20
Alcohol and Other Drug Entity Facility,810511,KENTUCKIANA MENTAL HEALTH ASSOCIATES,105 CRESCENT AVENUE,LOUISVILLE,KY,40206,JEFFERSON,"KENTUCKIANA MENTAL HEALTH ASSOCIATES, INC.",STEPHANIE,MCCOY,(502) 895-4470,Pending Renewal
Alcohol and Other Drug Entity Facility,810056,KENTUCKY ALCOHOL OFFENDERS,3499 LANSDOWNE DRIVE,LEXINGTON,KY,40517,FAYETTE,KENTUCKY ALCOHOL OFFENDERS,JUDY,HUFFMAN,(859) 263-2700,2/29/20
Alcohol and Other Drug Entity Facility,810721,KENTUCKY CHRISTIAN RECOVERY OUTPATIENT SERVICES,"263 HUNTSVILLE QUALITY ROAD, SUITE C",MORGANTOWN,KY,42261,BUTLER,KENTUCKY CHRISTIAN RECOVERY,DONTE,PAUL,(270) 934-2024,9/30/20
Alcohol and Other Drug Entity Facility,810293,KENTUCKY CORRECTIONAL INSTITUTE FOR WOMEN,3000 ASH AVENUE,PEWEE VALLEY,KY,40056,OLDHAM,COMMONWEALTH OF KENTUCKY,ERIN,KRON-CHIA,(502) 241-8454,6/30/20
Alcohol and Other Drug Entity Facility,810698,KENTUCKY CORRECTIONAL INSTITUTION FOR WOMEN WILLOW,3000 ASH AVENUE,PEWEE VALLEY,KY,40056,OLDHAM,KENTUCKY DEPARTMENT OF CORRECTIONS,MARLANA,BRAGG,(502) 241-8454,7/31/20
Alcohol and Other Drug Entity Facility,810055,KENTUCKY DRIVING SCHOOL,"3715 BARDSTOWN ROAD, SUITE 410",LOUISVILLE,KY,40218,JEFFERSON,KENTUCKY DRIVING SCHOOL,RICHARD,EPLEY,(502) 456-5266,2/29/20
Alcohol and Other Drug Entity Facility,810137,KENTUCKY RIVER COMMUNITY CARE INC,115 ROCKWOOD LANE,HAZARD,KY,41701,PERRY,"KENTUCKY RIVER COMMUNITY CARE, INC.",MARY,MEADE-MCKENZIE,(606) 666-9006,5/31/20
Alcohol and Other Drug Entity Facility,810283,"KENTUCKY RIVER FOOTHILLS DEVELOPMENT COUNCIL, INC",100 TYLER LANE,IRVINE,KY,40336,ESTILL,"KENTUCKY RIVER FOOTHILLS DEVELOPMENT COUNCIL, INC.",GWENDOLYN,HOLDER,(606) 723-0492,7/31/20
Alcohol and Other Drug Entity Facility,810516,KENTUCKY STATE REFORMATORY,3001 WEST HWY 146,LA GRANGE,KY,40031,OLDHAM,COMMONWEALTH OF KENTUCKY KENTUCKY STATE REFORMATOR,SHAUNA,MARKHAM,(502) 222-9441,6/30/20
Alcohol and Other Drug Entity Facility,810389,"KENTUCKY'S CHOICE, LLC",225B SOUTH MAIN STREET,VERSAILLES,KY,40383,WOODFORD,"KENTUCKY'S CHOICE, LLC",MARY,HICKS,(502) 600-1951,3/31/20
Alcohol and Other Drug Entity Facility,810420,KVC BEHAVIORAL HEALTHCARE KENTUCKY,"2250 THUNDERSTICK DRIVE, SUITE 1104",LEXINGTON,KY,40505,FAYETTE,"KVC BEHAVIORAL HEALTHCARE KENTUCKY, INC",REGINA,KLYACHKIN,(859) 254-1035,9/30/20
Alcohol and Other Drug Entity Facility,810282,L & N COUNSELING,"688 SOUTH HIGHWAY 25 W, SUITE 2",WILLIAMSBURG,KY,40769,WHITLEY,L & N COUNSELING,LLOYD,COFFEY,(606) 521-5009,12/31/19
Alcohol and Other Drug Entity Facility,810718,LACKEY - ADDICTION RECOVERY CARE,502 NORTH LACKEY AVENUE,LOUISA,KY,41230,LAWRENCE,"ADDICTION RECOVERY CARE, LLC",TIM,ROBINSON,(606) 638-0938,7/31/20
Alcohol and Other Drug Entity Facility,810703,"LADIES OF PROMISE, INC",2133 WEST MARKET STREET,LOUISVILLE,KY,40212,JEFFERSON,"LADIES OF PROMISE, INC.",MONICA,LAWRENCE,(502) 368-5807,8/31/20
Alcohol and Other Drug Entity Facility,810734,LANDMARK RECOVERY OF LOUISVILLE,4418 MALCOLM AVENUE,LOUISVILLE,KY,40215,JEFFERSON,LANDMARK RECOVERY OF LOUISVILLE,CHARLEY,MELSON,(502) 713-7017,7/31/20
Alcohol and Other Drug Entity Facility,810287,LANHAM COUNSELING,27 COURT SQUARE,LEBANON,KY,40033,MARION,MS. JENNIFER LANHAM,JENNIFER,LANHAM,(270) 692-1466,8/31/20
Alcohol and Other Drug Entity Facility,810699,LAUREL COUNTY CORRECTIONAL CENTER,206 WEST 4TH STREET,LONDON,KY,40741,LAUREL,LAUREL COUNTY CORRECTIONAL CENTER,JOHN,VICKERS,(606) 878-6992,6/30/20
Alcohol and Other Drug Entity Facility,810609,LEE ADJUSTMENT CENTER,168 LEE COUNTY ADJUSTMENT CENTER,BEATTYVILLE,KY,41311,LEE,"CORE CIVIC, INC.",DANIEL,AKERS,(606) 464-2866,5/31/20
Alcohol and Other Drug Entity Facility,810415,LEE COUNTY JAIL,2221 FAIRGROUND RIDGE ROAD,BEATTYVILLE,KY,41311,LEE,LEE COUNTY FISCAL COURT,RICHARD,WILLOUGHBY,(606) 464-2598,8/31/20
Alcohol and Other Drug Entity Facility,810326,LIFE HOPE CENTER,423 WEST CHESTNUT STREET,LOUISVILLE,KY,40202,JEFFERSON,"LIFE HOPE CENTER, INC.",EDDIE,WOODS,(502) 262-4841,3/31/20
Alcohol and Other Drug Entity Facility,810256,"LIFE MANAGEMENT, INC","116 BAUER AVENUE, 2ND FLOOR",LOUISVILLE,KY,40207,JEFFERSON,"LIFE MANAGEMENT, INC.",T.E.,BECKHAM,(502) 773-3406,2/29/20
Alcohol and Other Drug Entity Facility,810057,"LIFESKILLS, INC",380 SUWANNEE TRAIL STREET,BOWLING GREEN,KY,42103,WARREN,"LIFESKILLS, INC.",KAREN,GARRITY,(270) 901-5000,2/29/20
Alcohol and Other Drug Entity Facility,810400,LIGHTED WAY COUNSELING SERVICES,5510 NORTH PRESTON HIGHWAY,SHEPHERDSVILLE,KY,40165,BULLITT,LIGHTED WAY COUNSELING SERVICES,KEVIN,EMBRY,(502) 548-5585,Pending Renewal
Alcohol and Other Drug Entity Facility,810183,"LIGHTHOUSE COUNSELING SERVICES, INC",203 NORTH ELM STREET,HENDERSON,KY,42420,HENDERSON,"LIGHTHOUSE COUNSELING SERVICES, INC.",JAMES,MESSER,(270) 826-8761,5/31/20
Alcohol and Other Drug Entity Facility,810432,LIGHTHOUSE PROFESSIONAL COUNSELING SERVICES,1448 DIEDERICH BLVD,RUSSELL,KY,41169,GREENUP,"LIGHTHOUSE PROFESSIONAL COUNSELING SERVICES, PLLC",DEBORA,REEVES,(606) 834-0020,12/31/20
Alcohol and Other Drug Entity Facility,810671,LISA WALKER CENTER,5866 BOHON ROAD,HARRODSBURG,KY,40330,MERCER,"ISAIAH HOUSE, INC.",MARK,LAPALME,(859) 375-9200,12/31/19
Alcohol and Other Drug Entity Facility,810440,LITTLE SANDY CORRECTIONAL COMPLEX,505 PRISON CONNECTOR,SANDY HOOK,KY,41171,ELLIOTT,COMMONWEALTH OF KENTUCKY - LSCC,JAY,VOLKERT,(606) 738-6133,1/31/20
Alcohol and Other Drug Entity Facility,810290,MARION COUNTY JAIL SUBSTANCE ABUSE PROGRAM,201 WAREHOUSE ROAD,LEBANON,KY,40033,MARION,MARION COUNTY,JENNIFER,GREENWELL,(270) 692-5802,8/31/20
Alcohol and Other Drug Entity Facility,810244,MENTAL HEALTH AMERICA OF NORTHERN KENTUCKY,912 SCOTT BOULEVARD,COVINGTON,KY,41011,KENTON,MENTAL HEALTH ASSOCIATION OF NORTHERN KENTUCKY,MATT,MUIR,(859) 431-1077,11/30/20
Alcohol and Other Drug Entity Facility,810483,"MILES OF HOPE COUNSELING CENTER, LLC",107 NORTH 2ND STREET,STANFORD,KY,40484,LINCOLN,"MILES OF HOPE COUNSELING CENTER, LLC",CARLA,LOVELESS-TACKETT,(606) 303-3560,1/31/20
Alcohol and Other Drug Entity Facility,810377,"MILLER COUNSELING, INC",341 SOUTH BUCKMAN STREET,SHEPHERDSVILLE,KY,40165,BULLITT,"MILLER COUNSELING, LLC",MARJIE,MILLER,(502) 593-3621,Pending Renewal
Alcohol and Other Drug Entity Facility,810275,MILLSTONE COUNSELING CENTER,4001 HANSEN ROAD,PADUCAH,KY,42001,MCCRACKEN,"MILLSTONE COUNSELING CENTER, LLC",AMBER,EDWARDS,(270) 554-9216,7/31/20
Alcohol and Other Drug Entity Facility,810557,MONARCH COUNSELING CENTER,"1005 WEST COLUMBIA STREET, SUITE C",SOMERSET,KY,42501,PULASKI,MONARCH COUNSELING CENTER LLC,RONDA,WEDDLE,(606) 271-6693,5/31/20
Alcohol and Other Drug Entity Facility,810449,"MORE TO LIFE COUNSELING, LLC","351 PASCOE BLVD, SUITE 102",BOWLING GREEN,KY,42104,WARREN,"MORE TO LIFE COUNSELING, LLC",CATHERINE,GAMM,(270) 904-4945,3/31/20
Alcohol and Other Drug Entity Facility,810506,MOUNTAIN CENTER FOR RECOVERY AND HOPE,140 THE LANDING LANE,PRESTONSBURG,KY,41653,FLOYD,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",PROMOD,BISHNOI,(606) 886-8572,4/30/20
Alcohol and Other Drug Entity Facility,810121,MOUNTAIN COMPREHENSIVE CARE CENTER INC,104 SOUTH FRONT AVENUE,PRESTONSBURG,KY,41653,FLOYD,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",PROMOD,BISHNOI,(606) 886-8572,3/31/20
Alcohol and Other Drug Entity Facility,810403,NECCO,"75 CAVALIER BOULEVARD, SUITE 110",FLORENCE,KY,41042,BOONE,NECCO LLC,KELLY,ADKINS,(859) 594-4510,8/31/20
Alcohol and Other Drug Entity Facility,810692,NELSON COUNTY ASSESSMENT & TREATMENT SERVICES,"101 MANOR DRIVE, SUITE 100",BARDSTOWN,KY,40004,NELSON,NELSON COUNTY ASSESSMENT & TREATMENT SERVICES,MIRANDA,BAKER,(270) 505-5461,6/30/20
Alcohol and Other Drug Entity Facility,810544,NEW AGE VITALITY CLINIC,1032 BROADWAY STREET,PAINTSVILLE,KY,41240,JOHNSON,NEW AGE VITALITY CLINIC LLC,JIMMY,ARNETT,(606) 789-8531,3/31/20
Alcohol and Other Drug Entity Facility,810077,NEW BEGINNINGS EDUCATION & COUNSELING CENTER,"4400 BRECKINRIDGE LANE, SUITE 126",LOUISVILLE,KY,40218,JEFFERSON,"NEW BEGINNINGS EDUCATION & COUNSELING CENTER, INC.",LEO,HOBBS,(502) 493-7794,12/31/20
Alcohol and Other Drug Entity Facility,810327,NEW HOPE COMMUNITY SERVICES,"901 HIGHWAY 68, SUITE 1000",MAYSVILLE,KY,41056,MASON,"NEW HOPE COMMUNITY SERVICES, LLC",ALICIA,GREENE,(606) 584-7055,3/31/20
Alcohol and Other Drug Entity Facility,810679,NEW HOPE RECOVERY,"2503 BUSH RIDGE DRIVE, SUITE 2A",LOUISVILLE,KY,40245,JEFFERSON,"NEW HOPE RECOVERY, LLC",AMY,SPAIN-DUNCAN,(502) 758-7326,7/31/20
Alcohol and Other Drug Entity Facility,810243,NEW HOPE SUBSTANCE ABUSE & DOMESTIC VIOLENCE INTER,"205 NORTH 18TH STREET, SUITE 6",MIDDLESBORO,KY,40965,BELL,NEW HOPE SUBSTANCE ABUSE AND DOMESTIC VIOLENCE INT,SYLVIA,MIDDLETON,(606) 302-5266,12/31/20
Alcohol and Other Drug Entity Facility,810622,"NEW LEAF RECOVERY AND WELLNESS, LLC",1129 WEST LEXINGTON AVENUE,WINCHESTER,KY,40391,CLARK,"NEW LEAF RECOVERY AND WELLNESS, LLC",SHANNON,TIPTON,(859) 771-5766,3/31/20
Alcohol and Other Drug Entity Facility,810357,NEW LIFE COUNSELING SERVICES,389 WALLER AVENUE SUITES 200 & 220,LEXINGTON,KY,40504,FAYETTE,"NEW LIFE COUNSELING SERVICES, LLC",DOMINIQUE,WILSON,(859) 309-2384,5/31/20
Alcohol and Other Drug Entity Facility,810089,"NEW VISTA OF THE BLUEGRASS, INC",1351 NEWTOWN PIKE,LEXINGTON,KY,40511,FAYETTE,"NEW VISTA OF THE BLUEGRASS, INC.",PAUL R.,BEATRICE,(859) 253-1686,3/31/20
Alcohol and Other Drug Entity Facility,810233,NEW WAY OF LIFE COUNSELING,235 SAINT ANN STREET,OWENSBORO,KY,42303,DAVIESS,FRANK HAYDEN,FRANK,HAYDEN,(270) 684-8005,4/30/20
Alcohol and Other Drug Entity Facility,810355,NKY MED CLINIC LLC,1717 MADISON AVENUE,COVINGTON,KY,41011,KENTON,NKY MED CLINIC LLC,HOLLY,BROCE,(859) 613-3722,4/30/20
Alcohol and Other Drug Entity Facility,810021,"NOLAN, INC","2401 REGENCY ROAD, SUITE 102",LEXINGTON,KY,40503,FAYETTE,"NOLAN, INC.",BILL,NOLAN,(859) 278-4673,12/31/19
Alcohol and Other Drug Entity Facility,810090,NORTH KEY COMMUNITY CARE,503 FARRELL DRIVE,COVINGTON,KY,41012,KENTON,"NORTHERN KY MH/MR REGIONAL BOARD, INC.",OWEN,NICHOLS,(859) 578-3252,3/31/20
Alcohol and Other Drug Entity Facility,810447,NORTHPOINT TRAINING CENTER,710 WALTER REED ROAD,BURGIN,KY,40310,MERCER,COMMONWEALTH OF KENTUCKY,NASTASSIA,GAY,(859) 239-7012,5/31/20
Alcohol and Other Drug Entity Facility,810607,NULEASE MEDICAL SOLUTIONS,5722 OUTER LOOP,LOUISVILLE,KY,40219,JEFFERSON,SHANNON CALES,SHANNON,CALES,(502) 492-7455,2/29/20
Alcohol and Other Drug Entity Facility,810727,"OLIVER WINSTON BEHAVIORAL URGENT CARE, LLC","1555 EAST NEW CIRCLE ROAD, SUITE 190",LEXINGTON,KY,40509,FAYETTE,"OLIVER WINSTON BEHAVIORAL URGENT CARE, LLC",DHAVAL,PATEL,(859) 444-5790,10/31/20
Alcohol and Other Drug Entity Facility,810665,"PARACHUTE RECOVERY CENTERS, LLC",222 NORTH MAIN STREET,LONDON,KY,40741,LAUREL,"PARACHUTE RECOVERY CENTERS, LLC",SARA,PARMAN,(606) 389-5250,11/30/20
Alcohol and Other Drug Entity Facility,810015,PATHWAYS COUNSELING SERVICES,401 L HOFFMAN DRIVE,HENDERSON,KY,42420,HENDERSON,"PATHWAYS COUNSELING SERVICES, PLLC",JAMES,HAGMAN,(270) 826-5216,11/30/19
Alcohol and Other Drug Entity Facility,810123,"PATHWAYS, INC",201 22ND STREET,ASHLAND,KY,41101,BOYD,"PATHWAYS, INC.",KIM,MCCLANAHAN,(606) 329-8588,3/31/20
Alcohol and Other Drug Entity Facility,810534,PATRICIA'S PLACE,2042 MAIN STREET,WILLISBURG,KY,40078,WASHINGTON,"ISAIAH HOUSE, INC.",MARK,LAPALME,(859) 375-9200,9/30/20
Alcohol and Other Drug Entity Facility,810627,PAX HOUSE RECOVERY CENTER EAST,2305 HURSTBOURNE VILLAGE DRIVE SUITE 600,LOUISVILLE,KY,40299,JEFFERSON,PAX HOUSE RECOVER CENTER EAST,JENISE,GOTT,(502) 208-2420,Pending Renewal
Alcohol and Other Drug Entity Facility,810568,"PENNYROYAL REGIONAL MH/MR BOARD, INC",109 SOUTH 2ND STREET,CENTRAL CITY,KY,42330,MUHLENBERG,"PENNYROYAL REGIONAL MH/MR BOARD, INC.",ERIC,EMBRY,(270) 931-5113,8/31/20
Alcohol and Other Drug Entity Facility,810539,PHOENIX COUNSELING SERVICES,"2301 GREENUP AVENUE, SUITE 1",ASHLAND,KY,41101,BOYD,"PHOENIX COUNSELING SERVICE, LLC",FIDELIA,EZE,(606) 424-2650,11/30/19
Alcohol and Other Drug Entity Facility,810303,PIKE COUNTY JAIL SUBSTANCE ABUSE PROGRAM,"172 DIVISION STREET, SUITE 103",PIKEVILLE,KY,41501,PIKE,PIKE COUNTY,RON,SAMONS,(606) 432-6312,Pending Renewal
Alcohol and Other Drug Entity Facility,810322,"POLLARD COUNSELING SERVICES, LLC","203 BURKESVILLE STREET, STE 111",COLUMBIA,KY,42728,ADAIR,MELODY POLLARD & GEORGE POLLARD,MELODY,POLLARD,(270) 384-1198,11/30/20
Alcohol and Other Drug Entity Facility,810442,POWELL COUNTY DETENTION CENTER,755 BRECKENRIDGE STREET,STANTON,KY,40380,POWELL,POWELL COUNTY FISCAL COURT,DAVID,HOWARD,(606) 663-6409,1/31/20
Alcohol and Other Drug Entity Facility,810649,PURCHASE AREA DRUG & ALCOHOL INTERVENTION,"101 NORTH SEVENTH STREET, SUITE 2-B",MAYFIELD,KY,42066,GRAVES,"PURCHASE AREA COUNSELING CENTER, PLLC",JANET,OGG,(270) 705-7194,9/30/20
Alcohol and Other Drug Entity Facility,810342,"RAYS OF HOPE INTERVENTION, PLC",936 SOUTH MAIN STREET,MONTICELLO,KY,42633,WAYNE,"RAYS OF HOPE INTERVENTION, PLC",TIM,STOCKTON,(606) 307-6688,Pending Renewal
Alcohol and Other Drug Entity Facility,810369,"REACH PROGRAM, LLC",120 WEST STEPHEN FOSTER AVENUE SUITE 113,BARDSTOWN,KY,40004,NELSON,"R. E. A. C. H. PROGRAM, LLC",STACIE,SYLVESTER,(502) 350-7368,8/31/20
Alcohol and Other Drug Entity Facility,810443,"REBOUND RECOVERY CENTERS, LLC","5 LINVILLE DRIVE, SUITE 102",PARIS,KY,40361,BOURBON,"REBOUND RECOVERY CENTERS, LLC",CHRISTOPHER,DURHAM,(859) 340-1807,2/29/20
Alcohol and Other Drug Entity Facility,810241,RECOVERY WORKS,3107 CINCINNATI ROAD,GEORGETOWN,KY,40324,SCOTT,"PINNACLE TREATMENT CENTERS KY - I, LLC",TODD,CASE,(502) 570-9313,Pending Renewal
Alcohol and Other Drug Entity Facility,810615,RECOVERY WORKS ELIZABETHTOWN,104 DIECKS DRIVE,ELIZABETHTOWN,KY,42701,HARDIN,PINNACLE TREATMENT CENTERS KY-I,JAYME,COLLINS,(270) 982-1244,3/31/20
Alcohol and Other Drug Entity Facility,810182,RECOVERY WORKS ELIZABETHTOWN,100 DIECKS DRIVE,ELIZABETHTOWN,KY,42701,HARDIN,"PINNACLE TREATMENT CENTERS KY-I, LLC",JAYME,COLLINS,(270) 982-1244,1/31/20
Alcohol and Other Drug Entity Facility,810731,RECOVERY WORKS GREENUP,4632 STATE ROUTE 1043,SOUTH SHORE,KY,41175,GREENUP,"PINNACLE TREATMENT CENTERS KY- I, LLC",PEGGY,GEMPERLINE,(606) 498-4174,7/31/20
Alcohol and Other Drug Entity Facility,810732,RECOVERY WORKS LONDON,300 CARRERA DRIVE,LONDON,KY,40741,LAUREL,"PINNACLE TREATMENT CENTERS KY-I, LLC",CATHERINE,NAPIER,(606) 260-8962,8/31/20
Alcohol and Other Drug Entity Facility,810375,RECOVERY WORKS PADUCAH,4747 OLD DUBLIN ROAD,MAYFIELD,KY,42066,GRAVES,"PINNACLE TREATMENT CENTERS KY - I, LLC",CARA,GROOM,(207) 623-8500,Pending Renewal
Alcohol and Other Drug Entity Facility,810407,RENEW BEHAVIORAL HEALTH,286 US HWY 23 NORTH,PRESTONSBURG,KY,41653,FLOYD,"RENEW OUT-PATIENT & RESIDENTIAL TREATMENT CENTERS,",EUGENE,SISCO,(606) 653-1505,9/30/20
Alcohol and Other Drug Entity Facility,810625,REVIVE LIFE HOUSE,185 ELM TREE LANE,LEXINGTON,KY,40507,FAYETTE,LEXINGTON LIFE HOUSE,TODD,JOHNS,(859) 576-8279,3/31/20
Alcohol and Other Drug Entity Facility,810533,REVIVE MINISTRIES,101 RICHMOND AVENUE,NICHOLASVILLE,KY,40356,JESSAMINE,"REVIVE MINISTRIES, INC",TODD,JOHNS,(859) 881-4505,9/30/20
Alcohol and Other Drug Entity Facility,810139,RIGHT CHOICE COUNSELING,108 NORTH FIRST STREET,HARLAN,KY,40831,HARLAN,"RIGHT CHOICE COUNSELING, INC.",CHARLES,POWERS,(606) 524-4022,4/30/20
Alcohol and Other Drug Entity Facility,810289,ROEDERER CORRECTIONAL COMPLEX,4000 MORGAN ROAD,LA GRANGE,KY,40031,OLDHAM,COMMONWEALTH OF KENTUCKY,NICOLE,LOWRY-HALL,(502) 222-0173,6/30/20
Alcohol and Other Drug Entity Facility,810598,ROSS CASH CENTER,374 NEW BETHEL CHURCH ROAD,FREDONIA,KY,42411,CALDWELL,"DEPT OF CORRECTIONS, DIVISION OF SUBSTANCE ABUSE",AMY,TURNER,(270) 388-9781,10/31/20
Alcohol and Other Drug Entity Facility,810083,SABRINA L WEST LCSW COUNSELING SERVICE,121 APPLE ALLEY,HARTFORD,KY,42347,OHIO,"SABRINA L. WEST, LCSW, PLLC",SABRINA,WEST,(270) 298-0088,3/31/20
Alcohol and Other Drug Entity Facility,810332,SAFY,"3540 SOUTH HIGHWAY 27, SUITE 4",SOMERSET,KY,42501,PULASKI,SPECIALIZED ALTERNATIVES FOR FAMILIES AND YOUTH OF,KAREN,MOORE,(606) 679-1815,4/30/20
Alcohol and Other Drug Entity Facility,810452,SERENITY COUNSELING SERVICES,301 KEEN STREET,BURKESVILLE,KY,42717,CUMBERLAND,SERENITY COUNSELING SERVICES,CECELIA,BUNCH,(270) 864-1625,4/30/20
Alcohol and Other Drug Entity Facility,810333,SHELBY COUNTY DETENTION CENTER,1000 BOBBY WAITS LANE,SHELBYVILLE,KY,40065,SHELBY,SHELBY COUNTY,CELESTE,HURTT,(502) 633-2343,5/31/20
Alcohol and Other Drug Entity Facility,810589,SHELBYVILLE COMPREHENSIVE TREATMENT CENTER,213 MIDLAND BOULEVARD,SHELBYVILLE,KY,40065,SHELBY,"CRC HEALTH TREATMENT CLINICS, LLC",KELLI,HOOD,(877) 258-1432,10/31/20
Alcohol and Other Drug Entity Facility,810664,"SOKY COUNSELING, LLC","1600 SCOTTSVILLE ROAD, SUITE 100",BOWLING GREEN,KY,42104,WARREN,"SOKY COUNSELING, LLC",DANA,BRUMM,(270) 599-0025,12/31/19
Alcohol and Other Drug Entity Facility,810261,SOLUTIONS COUNSELING SERVICES,"3520 NEW HARTFORD ROAD, SUITE 202",OWENSBORO,KY,42303,DAVIESS,SOLUTIONS COUNSELING SERVICES LLC,KEITH,PAGE,(270) 684-7239,6/30/20
