"FACILTY
TYPE","FACILITY
ID",NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,OWNER,TELEPHONE,ADM FIRST,ADM LAST,"LICENSE
EXPIRATION"
AMBULATORY SURGICAL CENTER,300274,"DAYBREAK OPERATIONS, LLC",133 BARNWOOD DRIVE,EDGEWOOD,KY,41017,KENTON,"DAYBREAK OPERATIONS, LLC",(859) 331-9600,DEVINDER,MANGAT,Pending Renewal
AMBULATORY SURGICAL CENTER,300253,"(D) DENTAL SURGICENTER OF LOUISVILLE, INC","2800 CANNONS LANE, SUITE 100",LOUISVILLE,KY,40205,JEFFERSON,"DENTAL SURGICENTER OF LOUISVILLE, INC.",(502) 813-8604,SARAH,RIEDINGER,2/29/20
AMBULATORY SURGICAL CENTER,300149,DERMATOLOGY ASSOCIATES OF KY PSC,250 FOUNTAIN COURT,LEXINGTON,KY,40509,FAYETTE,"DERMATOLOGY ASSOCIATES OF KENTUCKY, PSC",(859) 263-4444,JOY,HAYES,2/29/20
AMBULATORY SURGICAL CENTER,300070,DUPONT SURGERY CENTER,4004 DUPONT CIRCLE,LOUISVILLE,KY,40207,JEFFERSON,"ARC KENTUCKY, LLC",(502) 896-6428,SHERRY,OESWEIN,2/29/20
AMBULATORY SURGICAL CENTER,300111,ENDOSCOPY AND SURGICAL CENTER OF LEXINGTON CLINIC,"1225 SOUTH BROADWAY, SUITE 200",LEXINGTON,KY,40504,FAYETTE,"NEW LEXINGTON CLINIC, PSC",(859) 258-4600,ASHLEY,KARATHANASIS,10/31/20
AMBULATORY SURGICAL CENTER,300139,"EYECARE NETWORK, LTD",1360 MEDICAL PARK DRIVE,MAYSVILLE,KY,41056,MASON,"EYECARE NETWORK, LTD",(606) 759-5341,BRYAN,PRATER,10/31/20
AMBULATORY SURGICAL CENTER,300299,GREENVIEW SURGERY CENTER ,"484 GOLDEN AUTUM WAY, SUITE 100",BOWLING GREEN,KY,42103,WARREN,"SOUTHERN KENTUCKY SURGICENTER,LLC",(270) 938-6500,DANIEL,WINKLER,2/29/20
AMBULATORY SURGICAL CENTER,300048,HMH-SURGICAL CENTER OF ELIZABETHTOWN,108 FINANCIAL DRIVE,ELIZABETHTOWN,KY,42701,HARDIN,"HARDIN COUNTY, KENTUCKY D/B/A HARDIN MEMORIAL HOSP",(270) 737-5200,JOE,SALTSMAN,9/30/20
AMBULATORY SURGICAL CENTER,300289,"(D) INNOVATIVE EYE SURGERY CENTER, PLLC","1130 LONE OAK ROAD, SUITE B",PADUCAH,KY,42003,MCCRACKEN,"BARBARA BOWERS, MD",(270) 415-0245,DAVE,HOFFMAN,1/31/20
AMBULATORY SURGICAL CENTER,300269,"(D) KENTUCKIANA PAIN SPECIALISTS, PSC",3710 CHAMBERLAIN LANE,LOUISVILLE,KY,40241,JEFFERSON,"K P S SUITES, LLC",(502) 299-4004,AJITH,NAIR,2/29/20
AMBULATORY SURGICAL CENTER,300068,KENTUCKY SURGERY CENTER,240 FOUNTAIN COURT,LEXINGTON,KY,40509,FAYETTE,"MEDICAL HEIGHTS SURGERY CENTER, INC.",(859) 278-1460,KIM,WILDER,12/31/19
AMBULATORY SURGICAL CENTER,300141,LAKE CUMBERLAND SURGERY CENTER,301 LANGDON STREET,SOMERSET,KY,42503,PULASKI,"LAKE CUMBERLAND SURGERY CENTER, LP",(606) 678-9688,DEBRA,LAMAN,1/31/20
AMBULATORY SURGICAL CENTER,300040,LEXINGTON SURGERY CENTER LTD,2115 HARRODSBURG ROAD,LEXINGTON,KY,40504,FAYETTE,"LEXINGTON SURGERY CENTER, LTD",(859) 276-2525,BRAIN,MCCLAIN,9/30/20
AMBULATORY SURGICAL CENTER,300132,LOUISVILLE ENDOSCOPY CENTER,"1400 POPLAR LEVEL ROAD, SUITE 2",LOUISVILLE,KY,40217,JEFFERSON,"LOUISVILLE ENDOSCOPY CENTER, PLLC",(502) 452-9567,ROSEMARY,GENTRY,9/30/20
AMBULATORY SURGICAL CENTER,300168,LOUISVILLE SURGERY CENTER,"444 S FIRST STREET, SUITE 201",LOUISVILLE,KY,40202,JEFFERSON,"AESTHETICPLASTICSURGERYINSTITUTEOFLOUISVILLE,LLC",(502) 238-2861,AMY,MCKIERNAN,10/31/20
AMBULATORY SURGICAL CENTER,300114,"LOURDES AMBULATORY SURGERY CENTER, LLC","225 MEDICAL CENTER DRIVE, SUITE 105",PADUCAH,KY,42003,MCCRACKEN,"LOURDES AMBULATORY SURGERY CENTER, LLC",(270) 441-4500,CARLA,OLIVER,2/29/20
AMBULATORY SURGICAL CENTER,300060,MCPEAK SURGERY CENTER,108 BRAVO BOULEVARD,GLASGOW,KY,42141,BARREN,"MCPEAK SURGERY CENTER, LLC",(270) 651-2181,SHEILA,DISHMAN,2/29/20
AMBULATORY SURGICAL CENTER,300093,NEW LEXINGTON CLINIC,"1225 S BROADWAY, 1ST FLOOR, SUITE 100",LEXINGTON,KY,40504,FAYETTE,"NEW LEXINGTON CLINIC, PSC",(859) 258-4000,ASHLEY,KARATHANASIS,3/31/20
AMBULATORY SURGICAL CENTER,300135,OWENSBORO SURGERY CENTER,"1000 BRECKENRIDGE STREET, SUITE 100",OWENSBORO,KY,42303,DAVIESS,"OWENSBORO AMBULATORY SURGICAL FACILITY, LTD",(270) 683-2751,LYZETTE,GALLOWAY,2/29/20
AMBULATORY SURGICAL CENTER,300083,"PADUCAH OPHTHALMOLOGY ASC, LLC",100 MEDICAL CENTER DRIVE,PADUCAH,KY,42003,MCCRACKEN,"THE PADUCAH OPHTHALMOLOGY ASC, LLC",(270) 442-1024,MELISSA,SIMPSON,7/31/20
AMBULATORY SURGICAL CENTER,300044,PREMIER SURGERY CENTER OF LOUISVILLE,2511 TERRA CROSSING BOULEVARD,LOUISVILLE,KY,40245,JEFFERSON,"PREMIER SURGERY CENTER OF LOUISVILLE, LTD.",(502) 589-9488,TIFFANY,BROCK,3/31/20
AMBULATORY SURGICAL CENTER,300277,(D) SHRINERS HOSPITAL FOR CHILDREN AMBULATORY SURGERY,110 CONN TERRACE (FIRST FLOOR),LEXINGTON,KY,40508,FAYETTE,SHRINERS HOSPITALS FOR CHILDREN,(859) 266-2101,TONY,LEWGOOD,2/29/20
AMBULATORY SURGICAL CENTER,300131,ST ELIZABETH PHYSICIANS ENDOSCOPY CENTER,"340 THOMAS MORE PARKWAY, SUITE 160 B",CRESTVIEW HILLS,KY,41017,KENTON,"AMSURG NORTHERN KENTUCKY GI, LLC",(859) 331-6466,JODIE,WILLIAMS,9/30/20
AMBULATORY SURGICAL CENTER,300100,STONE ROAD SURGERY CENTER,280 PASADENA DRIVE,LEXINGTON,KY,40503,FAYETTE,"THE PAIN TREATMENT CENTER, INC.",(859) 278-1316,HEATHER,WRIGHT,8/31/20
AMBULATORY SURGICAL CENTER,300022,SURGECENTER OF LOUISVILLE,4005 DUPONT CIRCLE,LOUISVILLE,KY,40207,JEFFERSON,"LOUISVILLE SURGICAL CENTER, LTD",(502) 897-7401,VICKI,BURNS,11/30/20
AMBULATORY SURGICAL CENTER,300096,TRI STATE DIGESTIVE DISORDER CENTER,425 CENTRE VIEW BOULEVARD,CRESTVIEW HILLS,KY,41017,KENTON,"TRI STATE GASTROENTEROLOGY ASSOCIATES, PSC",(859) 341-3575,BETH,RUDD,8/31/20
AMBULATORY SURGICAL CENTER-LICENSED ONLY,300134A,BAPTIST AMBULATORY SURGERY CENTER,"6400 DUTCHMANS PARKWAY, SUITE 60",LOUISVILLE,KY,40205,JEFFERSON,"BAPTIST HEALTHCARE SYSTEM, INC.",(502) 897-8101,CLINT,KAHO,1/31/20
AMBULATORY SURGICAL CENTER-LICENSED ONLY,300194,CENTRAL KENTUCKY SURGERY CENTER,"230 WEST MAIN STREET, SUITE 400",DANVILLE,KY,40422,BOYLE,"EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER, INC.",(859) 239-2611,KIM,PRICE,12/31/19
AMBULATORY SURGICAL CENTER-LICENSED ONLY,300184A,JENNIE STUART AMBULATORY SURGERY CAMPUS,8250 EAGLE WAY,HOPKINSVILLE,KY,42240,CHRISTIAN,"JENNIE STUART MEDICAL CENTERS, INC.",(270) 885-6200,ERIC,LEE,3/31/20
AMBULATORY SURGICAL CENTER-LICENSED ONLY,300052A,"MEDPARK WEST SURGERY, ANOTHER HEALTHCARE SERVICE F",30 MEDPARK DRIVE,SOMERSET,KY,42503,PULASKI,"LAKE CUMBERLAND REGIONAL HOSPITAL, LLC",(606) 679-7441,MARY,JONES,11/30/19
AMBULATORY SURGICAL CENTER-LICENSED ONLY,300045A,NORTON PEDIATRIC AMBULATORY SURGERY CENTER,4910 CHAMBERLAIN LANE,LOUISVILLE,KY,40241,JEFFERSON,"NORTON HOSPITALS, INC.",(502) 446-5000,KATHY,LAMB,6/30/20
AMBULATORY SURGICAL CENTER-LICENSED ONLY,300163A,SURGERY CENTER CRESTVIEW,2845 CHANCELLOR DRIVE,CRESTVIEW HILLS,KY,41017,KENTON,"SAINT ELIZABETH MEDICAL CENTER, INC.",(859) 301-5619,DAVID,VINE,8/31/20
AMBULATORY SURGICAL CENTER-LICENSED ONLY,300257,"SURGERY ON SUNDAY, INC","1451 HARRODSBURG ROAD, SUITE D-102",LEXINGTON,KY,40504,FAYETTE,"SURGERY ON SUNDAY, INC.",(859) 246-0046,AMANDA,FERGUSON,3/31/20
AMBULATORY SURGICAL CENTER-LICENSED ONLY,300063A,U OF L HEALTH- MEDICAL CENTER EAST,3920 DUTCHMAN'S LANE,LOUISVILLE,KY,40207,JEFFERSON,"U OF L HEALTH-LOUISVILLE, INC.",(502) 259-6000,DORIE,SHELBURNE,3/31/20
CD TREATMENT & FACILITY SPECS,100446,"CENTERSTONE OF KENTUCKY, INC",600 SOUTH PRESTON STREET,LOUISVILLE,KY,40202,JEFFERSON,"CENTERSTONE OF KENTUCKY, INC",(502) 583-3951,ABBREIAL,DRANE,3/31/20
CD TREATMENT & FACILITY SPECS,100154A,OUR LADY OF BELLEFONTE HOSPITAL,SAINT CHRISTOPHER DRIVE,ASHLAND,KY,41101,BOYD,"BON SECOURS KENTUCKY HEALTH SYSTEMS, INC",(606) 833-3600,KEVIN,HALTER,4/30/20
CD TREATMENT & FACILITY SPECS,101070,RECOVERY WORKS,3107 CINCINNATI ROAD,GEORGETOWN,KY,40324,SCOTT,"PINNACLE TREATMENT CENTERS KY - I, LLC",(502) 570-9313,COLLEEN,VICARI,10/31/20
COMMUNITY MENTAL HEALTH CENTERS,800001,FOUR RIVERS BEHAVIORAL HEALTH,"425 BROADWAY, SUITE 201",PADUCAH,KY,42001,MCCRACKEN,"WESTERN KY MENTAL HEALTH MENTAL RETARDATION BOARD,",(270) 442-7121,TERRY,HUDSPETH,11/30/20
COMMUNITY MENTAL HEALTH CENTERS,800016,"KENTUCKY RIVER COMMUNITY CARE, INC",115 ROCKWOOD LANE,HAZARD,KY,41701,PERRY,"KENTUCKY RIVER COMMUNITY CARE, INC.",(606) 436-5761,MARY,MEADE - MCKENZIE,1/31/20
COMMUNITY MENTAL HEALTH CENTERS,800004,LIFESKILLS,380 SUWANNE TRAIL STREET,BOWLING GREEN,KY,42103,WARREN,"LIFESKILLS, INCORPORATED",(270) 901-5000,JOE DAN,BEAVERS,6/30/20
COMMUNITY MENTAL HEALTH CENTERS,800002,PENNYROYAL REGIONAL MENTAL HEALTH-MENTAL RETARDATI,735 NORTH DRIVE,HOPKINSVILLE,KY,42240,CHRISTIAN,"PENNYROYAL REGIONAL MH/MR BOARD, INC.",(270) 886-2205,ERIC,EMBRY,1/31/20
COMMUNITY MENTAL HEALTH CENTERS- LIC ONLY,800119A,CENTERSTONE OF KENTUCKY INC,"10101 LINN STATION ROAD, SUITE 600",LOUISVILLE,KY,40223,JEFFERSON,"CENTERSTONE OF KENTUCKY, INC.",(502) 589-8600,ABBREIAL,DRANE,3/31/20
COMMUNITY MENTAL HEALTH CENTERS- LIC ONLY,800005A,"COMMUNICARE, INC",107 CRANES ROOST COURT,ELIZABETHTOWN,KY,42701,HARDIN,COMMUNICARE INC,(270) 765-2605,DAN,SIMPSON,5/31/20
COMMUNITY MENTAL HEALTH CENTERS- LIC ONLY,800013A,"COMPREHEND, INC",611 FOREST AVENUE,MAYSVILLE,KY,41056,MASON,"COMPREHEND, INC., REGION VIII MH/MR BOARD, INC.",(606) 564-4016,PAMELA,VAUGHT,2/28/20
COMMUNITY MENTAL HEALTH CENTERS- LIC ONLY,800017A,"CUMBERLAND RIVER BEHAVIORAL HEALTH, INC",1203 AMERICAN GREETING ROAD,CORBIN,KY,40702,WHITLEY,"CUMBERLAND RIVER BEHAVIORAL HEALTH, INC.",(606) 528-7010,MELANIE,YEAGER,8/31/20
COMMUNITY MENTAL HEALTH CENTERS- LIC ONLY,800015A,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC",104 SOUTH FRONT AVENUE,PRESTONSBURG,KY,41653,FLOYD,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",(606) 886-8572,PROMOD,BISHNOI,9/30/20
COMMUNITY MENTAL HEALTH CENTERS- LIC ONLY,800121A,"NEW VISTA OF THE BLUEGRASS, INC ",1351 NEWTOWN PIKE,LEXINGTON,KY,40511,FAYETTE,"NEW VISTA OF THE BLUEGRASS, INC.",(859) 253-1686,PAUL,BEATRICE,6/30/20
COMMUNITY MENTAL HEALTH CENTERS- LIC ONLY,800084A,NORTHKEY COMMUNITY CARE,503 FARRELL DRIVE,COVINGTON,KY,41012,KENTON,"NORTHERN KY MH/MR REGIONAL BOARD, INC.",(859) 578-3252,OWEN,NICHOLS,10/31/20
COMMUNITY MENTAL HEALTH CENTERS- LIC ONLY,800083A,"PATHWAYS, INC","1212 BATH AVENUE, 8TH FLOOR",ASHLAND,KY,41105,BOYD,"PATHWAYS, INC.",(606) 329-8588,KIMBERLY,MCCLANNAHAN,8/31/20
COMMUNITY MENTAL HEALTH CENTERS- LIC ONLY,800003A,RIVERVALLEY BEHAVIORAL HEALTH,1100 WALNUT STREET,OWENSBORO,KY,42302,DAVIESS,"GREEN RIVER REGIONAL MH/MR BOARD, INC.",(270) 689-6500,AMY,ROWAN,12/31/19
COMMUNITY MENTAL HEALTH CENTERS- LIC ONLY,800019A,THE ADANTA GROUP,130 SOUTHERN SCHOOL ROAD,SOMERSET,KY,42501,PULASKI,"LAKE CUMBERLAND MH/MR BOARD, INC.",(606) 679-4782,BEVERLY,LOY,4/30/20
END STAGE RENAL DISEASE FACILITIES,300215,12TH STREET COVINGTON DIALYSIS,"1500 JAMES SIMPSON JR WAY, SUITE 1100",COVINGTON,KY,41011,KENTON,"BLUEGRASS DIALYSIS, LLC",(859) 261-4345,BRENDAN,ZAHN,1/31/20
END STAGE RENAL DISEASE FACILITIES,300225,"AMERICAN HOME DIALYSIS, LLC",721 PRESTON STREET,LOUISVILLE,KY,40203,JEFFERSON,"AMERICAN HOME DIALYSIS, LLC",(502) 584-3338,JAI,BHIMANI,4/30/20
END STAGE RENAL DISEASE FACILITIES,300161,BARDSTOWN DIALYSIS CENTER,210 W JOHN FITCH AVENUE,BARDSTOWN,KY,40004,NELSON,"CENTRAL KENTUCKY DIALYSIS CENTERS, LLC",(502) 350-1130,THERESA,HUDDLESTON,4/30/20
END STAGE RENAL DISEASE FACILITIES,300224,BMA MASONIC HOME,"3501 MOYERS CIRCLE, SUITE 200",MASONIC HOME,KY,40041,JEFFERSON,"FRESENIUS MEDICAL CARE MASONIC HOME, LLC",(502) 721-1083,MOLLY,SEBASTIAN,1/31/20
END STAGE RENAL DISEASE FACILITIES,300092,BMA OF ASHLAND,840 CENTRAL AVENUE,ASHLAND,KY,41101,BOYD,"BMA OF KENTUCKY, INC.",(606) 325-5268,DEBBIE,FRAZIER,4/30/20
END STAGE RENAL DISEASE FACILITIES,300105,BMA OF CENTRAL RICHMOND,"1036 CENTER DRIVE, SUITE C",RICHMOND,KY,40475,MADISON,"BIO MEDICAL APPLICATIONS OF KENTUCKY, INC.",(859) 623-6040,TANA,BLACK,9/30/20
END STAGE RENAL DISEASE FACILITIES,300099,BMA OF EAST LOUISVILLE,6455 BARDSTOWN ROAD,LOUISVILLE,KY,40291,JEFFERSON,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",(502) 239-8221,MOLLY,SEBASTIAN,1/31/20
END STAGE RENAL DISEASE FACILITIES,300021,BMA OF LOUISVILLE,720 EAST BROADWAY,LOUISVILLE,KY,40202,JEFFERSON,"BMA OF KENTUCKY, INC.",(502) 584-3021,PAULA,RHOTEN,6/30/20
END STAGE RENAL DISEASE FACILITIES,300038,BMA OF MOREHEAD,250 NORMAN WELLS LANE,MOREHEAD,KY,40351,ROWAN,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",(606) 780-9701,TANA,BLACK,3/31/20
END STAGE RENAL DISEASE FACILITIES,300034,BMA OF PRESTONSBURG,61 DEWEY STREET,PRESTONSBURG,KY,41653,FLOYD,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",(606) 886-3893,DEBBIE,FRAZIER,1/31/20
END STAGE RENAL DISEASE FACILITIES,300113,BMA OF SHELBYVILLE,150 STONECREST ROAD,SHELBYVILLE,KY,40065,SHELBY,"BMA OF KENTUCKY, INC.",(502) 633-6333,MOLLY,SEBASTIAN,11/30/20
END STAGE RENAL DISEASE FACILITIES,300080,BMA OF SOMERSET,119 TRADE PARK DRIVE,SOMERSET,KY,42503,PULASKI,"BMA OF KENTUCKY, INC.",(606) 678-9811,CHRISTOPHER,DOBBS,3/31/20
END STAGE RENAL DISEASE FACILITIES,300110,BMA OF SUBURBAN,3991 DUTCHMANS LANE SUITE G-02,LOUISVILLE,KY,40207,JEFFERSON,"BMA OF KENTUCKY, INC.",(502) 895-2217,MARK,ZANNI,8/31/20
END STAGE RENAL DISEASE FACILITIES,300075,BMA OF WEST LOUISVILLE,"2600 WEST BROADWAY, SUITE 112",LOUISVILLE,KY,40211,JEFFERSON,"BMA OF KENTUCKY, INC.",(502) 772-7363,PAULA,RHOTEN,5/31/20
END STAGE RENAL DISEASE FACILITIES,300214,BOURBON COUNTY DIALYSIS,213 LETTON DRIVE,PARIS,KY,40361,BOURBON,"TOTAL RENAL CARE, INC.",(859) 988-1117,EMILY,GOSNEY,1/31/20
END STAGE RENAL DISEASE FACILITIES,300262,BOWLING GREEN HOME THERAPIES,1834 LYDA AVENUE,BOWLING GREEN,KY,42104,WARREN,BIO-MEDICAL APPLICATIONS OF KENTUCKY,(615) 347-8775,HEATHER,YATES,8/31/20
END STAGE RENAL DISEASE FACILITIES,300276,BRIDGEVIEW DIALYSIS,"2480 US HIGHWAY 41 N, SUITE J",HENDERSON,KY,42420,HENDERSON,"LOFIELD DIALYSIS, LLC",(270) 830-8061,CHRISTINA,BEALMEAR,10/31/20
END STAGE RENAL DISEASE FACILITIES,300151,CALDWELL COUNTY DIALYSIS CENTER,401 SOUTH JEFFERSON,PRINCETON,KY,42445,CALDWELL,"NRA-PRINCETON, KENTUCKY, LLC",(270) 365-7588,PAM,CORBIN,1/31/20
END STAGE RENAL DISEASE FACILITIES,300140,CHRISTIAN COUNTY DIALYSIS,200 BURLEY AVENUE,HOPKINSVILLE,KY,42240,CHRISTIAN,"DVA RENAL HEALTHCARE, INC.",(270) 707-0701,SHAWN,WELLS,12/31/19
END STAGE RENAL DISEASE FACILITIES,300185,COLD SPRING DIALYSIS,430 CROSSROADS DRIVE,COLD SPRING,KY,41076,CAMPBELL,"RIVER VALLEY DIALYSIS, LLC",(859) 441-3981,LISA,CAIN,4/30/20
END STAGE RENAL DISEASE FACILITIES,300102,CRESTVIEW HILLS DIALYSIS,400 CENTRE VIEW BOULEVARD,CRESTVIEW HILLS,KY,41017,KENTON,"DVA RENAL HEALTHCARE, INC.",(859) 341-5561,TERRI,SCHULTZ,3/31/20
END STAGE RENAL DISEASE FACILITIES,300301,DCI ROCKCASTLE,145 NEWCOMB AVENUE,MOUNT VERNON,KY,40456,ROCKCASTLE,,(859) 252-7712,LISA,ALLGOOD,3/31/20
END STAGE RENAL DISEASE FACILITIES,300103,DIALYSIS CLINIC INC,1038 BURLINGTON LANE,FRANKFORT,KY,40601,FRANKLIN,"DIALYSIS CLINIC, INC.",(502) 223-5918,LISA,ALLGOOD,6/30/20
END STAGE RENAL DISEASE FACILITIES,300072,"DIALYSIS CLINIC, INC",475 WHIRLAWAY DRIVE,DANVILLE,KY,40422,BOYLE,"DIALYSIS CLINIC, INC.",(859) 236-5982,LISA,ALLGOOD,7/31/20
END STAGE RENAL DISEASE FACILITIES,300037,"DIALYSIS CLINIC, INC",132 FUTURE DRIVE,CORBIN,KY,40701,WHITLEY,"DIALYSIS CLINIC, INC.",(606) 528-6006,LISA,ALLGOOD,12/31/19
END STAGE RENAL DISEASE FACILITIES,300064,"DIALYSIS CLINIC, INC",2374 PROFESSIONAL HEIGHTS DRIVE,LEXINGTON,KY,40503,FAYETTE,"DIALYSIS CLINIC, INC.",(859) 278-0357,LISA,ALLGOOD,2/29/20
END STAGE RENAL DISEASE FACILITIES,300107,"DIALYSIS CLINIC, INC","100 KEYSTONE DRIVE, SUITE E",RICHMOND,KY,40475,MADISON,"DIALYSIS CLINIC, INC.",(859) 625-0939,LISA,ALLGOOD,4/30/20
END STAGE RENAL DISEASE FACILITIES,300120,"DIALYSIS CLINIC, INC",1210 POPE DRIVE,MAYSVILLE,KY,41056,MASON,"DIALYSIS CLINIC, INC.",(606) 759-7689,ROY,DANSRO,11/30/19
END STAGE RENAL DISEASE FACILITIES,300018,"DIALYSIS CLINIC, INC",100 VENTURE COURT,LEXINGTON,KY,40511,FAYETTE,"DIALYSIS CLINIC, INC.",(859) 252-7712,LISA,ALLGOOD,4/30/20
END STAGE RENAL DISEASE FACILITIES,300031,DIALYSIS OF CENTRAL KENTUCKY,2807 RING ROAD,ELIZABETHTOWN,KY,42701,HARDIN,"CENTRAL KENTUCKY DIALYSIS CENTERS, LLC",(270) 735-1883,DAVID,AVIS,8/31/20
END STAGE RENAL DISEASE FACILITIES,300232,DIALYSIS OF WARREN COUNTY,391 SUWANNEE TRAIL STREET,BOWLING GREEN,KY,42103,WARREN,"TOTAL RENAL CARE, INC.",(270) 746-5374,DEBORAH,BOOKER,2/29/20
END STAGE RENAL DISEASE FACILITIES,300240,DIALYSIS SERVICES OF LONDON,306 SOUTH PLAZA,LONDON,KY,40741,LAUREL,"DIALYSIS SERVICES OF LONDON, LLC",(606) 862-0110,RHONDA,RUSS,6/30/20
END STAGE RENAL DISEASE FACILITIES,300236,"DIALYSIS SERVICES OF PINEVILLE, LLC","12904 ROBERT L MADON BYPASS, SUITE 1",PINEVILLE,KY,40977,BELL,"DIALYSIS SERVICES OF PINEVILLE, LLC",(606) 337-1110,ASHUTOSH,LOHE,1/31/20
END STAGE RENAL DISEASE FACILITIES,300012,DIALYSIS SPECIALIST OF CENTRAL CITY,401 WEST WHITMER STREET,CENTRAL CITY,KY,42330,MUHLENBERG,"HOME DIALYSIS OF MUHLENBERG COUNTY, INC.",(270) 754-2380,CHRISTOPHER,DOBBS,11/30/20
END STAGE RENAL DISEASE FACILITIES,300117,EASTERN KENTUCKY DIALYSIS,167 WEDDINGTON BRANCH ROAD,PIKEVILLE,KY,41501,PIKE,"TOTAL RENAL CARE, INC.",(606) 432-4477,AMY,REED,7/31/20
END STAGE RENAL DISEASE FACILITIES,300090,FMC DIALYSIS SERVICES OF AUDUBON,"2355 POPLAR LEVEL ROAD, G2-10",LOUISVILLE,KY,40217,JEFFERSON,"BIO-MEDICAL APPLICAITONS OF KY, INC.",(502) 637-1771,PAULA,RHOTEN,11/30/20
END STAGE RENAL DISEASE FACILITIES,300143,FMC DIALYSIS SERVICES OF DANVILLE,100 WOODLAWN WAY,DANVILLE,KY,40422,BOYLE,BIO MEDICAL APPLICATIONS OF KY INC,(859) 236-2214,TANA,BLACK,2/29/20
END STAGE RENAL DISEASE FACILITIES,300172,FMC DIALYSIS SERVICES OF OLDHAM COUNTY,"2100 BUTTON LANE, SUITE 105",LA GRANGE,KY,40031,OLDHAM,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",(502) 225-6223,MARK,ZANNI,8/31/20
END STAGE RENAL DISEASE FACILITIES,300144,FMC DIALYSIS SVCS MT STERLING,55 STERLING WAY,MOUNT STERLING,KY,40353,MONTGOMERY,"BIO-MEDICAL APPLICATIONS OF KY, INC.",(859) 499-0630,KEITH,SHELTON,5/31/20
END STAGE RENAL DISEASE FACILITIES,300229,FMC KENTUCKIANA HOME THERAPIES,"6400 DUTCHMANS PARKWAY, SUITE 145",LOUISVILLE,KY,40205,JEFFERSON,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",(502) 895-7650,JASON,SERAPHINE,6/30/20
END STAGE RENAL DISEASE FACILITIES,300175,FMC OF GRAYSON,286 STATE HIGHWAY 1947,GRAYSON,KY,41143,CARTER,BIO MEDICAL APPLICATI0N OF KY INC,(606) 474-0475,DEBBIE,FRAZIER,3/31/20
END STAGE RENAL DISEASE FACILITIES,300152,FMC OF PAINTSVILLE,620 JEFFERSON AVENUE,PAINTSVILLE,KY,41240,JOHNSON,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",(606) 789-2278,DEBBIE,FRAZIER,11/30/19
END STAGE RENAL DISEASE FACILITIES,300222,FMC TRIGG COUNTY,2484 MAIN STREET,CADIZ,KY,42211,TRIGG,"NNA OF PADUCAH, LLC",(270) 522-0171,ROBERT,JEAN,9/30/20
END STAGE RENAL DISEASE FACILITIES,300158,FMC-NA DIALYSIS SERVICES OF HARLAN,136 VILLAGE CENTER,HARLAN,KY,40831,HARLAN,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",(606) 574-0005,TARA,MURPHY,6/30/20
END STAGE RENAL DISEASE FACILITIES,300234,FMC-NA LAKE CUMBERLAND,140 STONECREST DRIVE,SOMERSET,KY,42501,PULASKI,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",(606) 561-9047,CHRISTOPHER,DOBBS,9/30/20
END STAGE RENAL DISEASE FACILITIES,300156,FMC-NA OF GREENUP,965 TOWNHILL PLAZA,GREENUP,KY,41144,GREENUP,"BIO-MEDICAL APPLICATIONS OF KENTUCY, INC.",(606) 473-0410,DEBBIE,FRAZIER,2/29/20
END STAGE RENAL DISEASE FACILITIES,300081,FMC-NA OF HAZARD,516 VILLAGE LANE,HAZARD,KY,41701,PERRY,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",(606) 439-3478,TANA,BLACK,5/31/20
END STAGE RENAL DISEASE FACILITIES,300118,FMC-NA OF PIKE COUNTY,146 ADAMS LANE,PIKEVILLE,KY,41501,PIKE,"BMA OF KENTUCKY, INC.",(606) 432-1707,TANA,BLACK,7/31/20
END STAGE RENAL DISEASE FACILITIES,300192,FMC-NICHOLASVILLE,115 ORCHARD PLACE DRIVE,NICHOLASVILLE,KY,40356,JESSAMINE,"BIO-MEDICAL APPLICATIONS OF KY, INC.",(859) 881-0332,KEITH,SHELTON,10/31/20
END STAGE RENAL DISEASE FACILITIES,300273,FRESENIUS KIDNEY CARE - LEXINGTON SOUTHWEST,978 CHAS DRIVE,LEXINGTON,KY,40515,FAYETTE,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC.",(859) 227-5672,KEITH,SHELTON,10/31/20
END STAGE RENAL DISEASE FACILITIES,300275,FRESENIUS KIDNEY CARE - WAYNE COUNTY,40 WALMART PLAZA DRIVE,MONTICELLO,KY,42633,WAYNE,"BIO-MEDICAL APPLICATIONS OF KENTUCKY, INC",(606) 348-3895,CHRISTOPHER,DOBBS,11/30/20
