,ADDRESS,Business Name,Business Type,Business Type Category,CITY,COUNTY,Dispenses Naloxone,Lat,Layer,Location Address Line 1,Location Address Line 2,Location City,Location County,Location State,Location Zip,Lon,Long,NAME,TYPE,ZIP,geometry
124,,CINCINNATI EYE INSTITUTE,MedicalFacility,105.0,,,False,39.13623,,222 Piedmont Ave Ste 4000,,Cincinnati,Hamilton,OH,45219,-84.50434200000001,,,,,POINT (-84.50434200000001 39.13623)
125,,UCMC DIVISION OF UROLOGY,MedicalFacility,105.0,,,False,39.13623,,222 Piedmont Ave Ste 7200,,Cincinnati,Hamilton,OH,45219,-84.50434200000001,,,,,POINT (-84.50434200000001 39.13623)
126,,HUGHES STEM HIGH SCHOOL HEALTH CENTER,MedicalFacility,105.0,,,False,39.128752,,2515 Clifton Ave,,Cincinnati,Hamilton,OH,45219,-84.52094100000001,,,,,POINT (-84.52094100000001 39.128752)
127,,TALBERT HOUSE,MedicalFacility,105.0,,,False,39.127208,,2602 Victory Pkwy,,Cincinnati,Hamilton,OH,45206,-84.484166,,,,,POINT (-84.484166 39.127208)
128,,TALBERT HOUSE,MedicalFacility,105.0,,,False,39.127784999999996,,2621 Victory Pkwy,,Cincinnati,Hamilton,OH,45206,-84.484483,,,,,POINT (-84.484483 39.127785)
129,,MILLVALE AT HOPPLE STREET HEALTH CENTER CINCINNATI HEALTH DEPARTMENT,MedicalFacility,105.0,,,False,39.135508,,2750 Beekman St,,Cincinnati,Hamilton,OH,45225,-84.547485,,,,,POINT (-84.54748499999999 39.135508)
130,,CENTRAL COMMUNITY HEALTH BOARD OF HAMILTON COUNTY CRISIS CENTER,MedicalFacility,105.0,,,False,39.133846999999996,,3007 Vernon Pl,,Cincinnati,Hamilton,OH,45219,-84.499789,,,,,POINT (-84.49978900000001 39.133847)
131,,"TALBERT HOUSE, INC/ADAPT FOR MEN",MedicalFacility,105.0,,,False,39.134096,,3009 Burnet Ave,,Cincinnati,Hamilton,OH,45219,-84.50131999999999,,,,,POINT (-84.50131999999999 39.134096)
132,,WHOLE HEALTH MED GROUP PC,MedicalFacility,105.0,,,False,39.100584000000005,,301 E 4th St, 9 NORTH,Cincinnati,Hamilton,OH,45202,-84.50761700000001,,,,,POINT (-84.50761700000001 39.100584)
133,,"TALBERT HOUSE, INC/SPRING GROVE CTR BEEKMAN CENTER CORNERSTONE",MedicalFacility,105.0,,,False,39.138296000000004,,3129 Spring Grove Ave,,Cincinnati,Hamilton,OH,45225,-84.541951,,,,,POINT (-84.541951 39.138296)
134,,"TriHealth G, LLC",MedicalFacility,105.0,,,False,39.139982,,3219 Clifton Ave Ste 330,,Cincinnati,Hamilton,OH,45220,-84.519786,,,,,POINT (-84.519786 39.139982)
135,,CINCINNATI EYE INSTITUTE,MedicalFacility,105.0,,,False,39.180091,,3310 Mercy Health Blvd Ste 220,,Cincinnati,Hamilton,OH,45211,-84.597036,,,,,POINT (-84.597036 39.180091)
136,,ROCKDALE ACADEMY HEALTH CENTER,MedicalFacility,105.0,,,False,39.145121,,335 Rockdale Ave,,Cincinnati,Hamilton,OH,45229,-84.501525,,,,,POINT (-84.501525 39.145121)
137,,CCPC AMBROSE H. CLEMENT HEALTH CENTER,MedicalFacility,105.0,,,False,39.14634,,3559 Reading Rd Ste 101,,Cincinnati,Hamilton,OH,45229,-84.489938,,,,,POINT (-84.489938 39.14634)
138,,The Cincinnati Eye Institute Foundation,MedicalFacility,105.0,,,False,39.110481,,3727 Saint Lawrence Ave,,Cincinnati,Hamilton,OH,45205,-84.57368199999999,,,,,POINT (-84.57368199999999 39.110481)
139,,THE LITTLE CLINIC OF OHIO LLC,MedicalFacility,105.0,,,False,39.145984000000006,,3760 Paxton Ave,,Cincinnati,Hamilton,OH,45209,-84.42983100000001,,,,,POINT (-84.42983100000001 39.14598400000001)
140,,NORTHSIDE HEALTH CENTER VFC CLINIC,MedicalFacility,105.0,,,False,39.157435,,3917 Spring Grove Ave,,Cincinnati,Hamilton,OH,45223,-84.540435,,,,,POINT (-84.540435 39.157435)
141,,HEALTH CARE FOR THE HOMELESS PROGRAM,MedicalFacility,105.0,,,False,39.115790000000004,,40 E Mcmicken Ave,,Cincinnati,Hamilton,OH,45202,-84.51553299999999,,,,,POINT (-84.51553299999999 39.11579)
142,,HEALTHWORKS,MedicalFacility,118.0,,,False,39.153048999999996,,4329B Red Bank Rd,,Cincinnati,Hamilton,OH,45227,-84.40333299999999,,,,,POINT (-84.40333299999999 39.153049)
143,,DAY REPORTING,MedicalFacility,105.0,,,False,39.167304,,4531 Reading Rd,,Cincinnati,Hamilton,OH,45229,-84.470508,,,,,POINT (-84.470508 39.167304)
144,,THE LITTLE CLINIC OF OHIO LLC,MedicalFacility,105.0,,,False,39.159662,,4613 Marburg Ave,,Cincinnati,Hamilton,OH,45209,-84.425065,,,,,POINT (-84.425065 39.159662)
145,,CONCENTRA MEDICAL CENTERS Select Medical,MedicalFacility,105.0,,,False,39.161049,,4623 Wesley Ave Ste C, SUITE C,Cincinnati,Hamilton,OH,45212,-84.450684,,,,,POINT (-84.450684 39.161049)
146,,NIOSH,MedicalFacility,118.0,,,False,39.118678,,4676 Columbia Pkwy,,Cincinnati,Hamilton,OH,45226,-84.419954,,,,,POINT (-84.419954 39.118678)
147,,CINCINNATI EYE INSTITUTE,MedicalFacility,105.0,,,False,39.157494,,4760 Red Bank Expy Ste 108,,Cincinnati,Hamilton,OH,45227,-84.406113,,,,,POINT (-84.406113 39.157494)
148,,TRIHEALTH OCCUPATIONAL MEDICINE NORWOOD,MedicalFacility,105.0,,,False,39.163804,,4805 Montgomery Rd,,Cincinnati,Hamilton,OH,45212,-84.45470300000001,,,,,POINT (-84.45470300000001 39.163804)
149,,EMERY OLECHEMICALS LLC,MedicalFacility,118.0,,,False,39.179823999999996,,4900 Este Ave Bldg 13-B," BLDG 13-B, ATTN:NURSE",Cincinnati,Hamilton,OH,45232,-84.50833399999999,,,,,POINT (-84.50833399999999 39.179824)
150,,TALBERT HOUSE,MedicalFacility,105.0,,,False,39.120657,,4968 Glenway Ave,,Cincinnati,Hamilton,OH,45238,-84.600501,,,,,POINT (-84.60050099999999 39.120657)
151,,CROSSROAD HEALTH CENTER,MedicalFacility,105.0,,,False,39.112704,,5 E Liberty St,,Cincinnati,Hamilton,OH,45202,-84.515812,,,,,POINT (-84.515812 39.112704)
152,,"ONCOLOGY HEMATOLOGY CARE, INC.",MedicalFacility,105.0,,,False,39.121867,,5053 Wooster Rd,,Cincinnati,Hamilton,OH,45226,-84.41073,,,,,POINT (-84.41073 39.121867)
153,,THE LITTLE CLINIC OF OHIO LLC,MedicalFacility,105.0,,,False,39.095096999999996,,5080 Delhi Rd,,Cincinnati,Hamilton,OH,45238,-84.612411,,,,,POINT (-84.61241099999999 39.095097)
154,,CENTRAL COMMUNITY HEALTH BOARD OF HAMILTON COUNTY,MedicalFacility,105.0,,,False,39.13358,,522 Maxwell Ave,,Cincinnati,Hamilton,OH,45219,-84.499201,,,,,POINT (-84.499201 39.13358)
155,,"EYE CARE ASSOCIATES OF GREATER CINCINNATI, INC",MedicalFacility,105.0,,,False,39.206527,,5240 E Galbraith Rd Ste B,,Cincinnati,Hamilton,OH,45236,-84.377011,,,,,POINT (-84.377011 39.206527)
156,,"WINTON HILLS MED & HLTH CTR., INC.",MedicalFacility,105.0,,,False,39.18609,,5275 Winneste Ave,,Cincinnati,Hamilton,OH,45232,-84.514878,,,,,POINT (-84.514878 39.18609)
157,,"PROCTER & GAMBLE CO., THE VIBRANT LIVING HEALTH CENTER",MedicalFacility,118.0,,,False,39.173095,,5299 Spring Grove Ave,,Cincinnati,Hamilton,OH,45217,-84.502315,,,,,POINT (-84.502315 39.173095)
158,,NIOSH,MedicalFacility,118.0,,,False,39.172458,,5555 Ridge Ave,,Cincinnati,Hamilton,OH,45213,-84.427208,,,,,POINT (-84.42720799999999 39.172458)
159,,MOUNT ST. JOSEPH UNIVERSITY,MedicalFacility,105.0,,,False,39.0963,,5701 Delhi Rd,,Cincinnati,Hamilton,OH,45233,-84.63899,,,,,POINT (-84.63899000000001 39.0963)
160,,BRAXTON CANN MEDICAL CTR VFC CLINIC,MedicalFacility,105.0,,,False,39.160779999999995,,5818 Madison Rd,,Cincinnati,Hamilton,OH,45227,-84.393744,,,,,POINT (-84.393744 39.16078)
161,,PROCTER & GAMBLE COMPANY VIBRANT LIVING HEALTH CENTER,MedicalFacility,118.0,,,False,39.196545,,6090 Center Hill Ave,,Cincinnati,Hamilton,OH,45224,-84.50641,,,,,POINT (-84.50641 39.196545)
162,,HEALTHSOURCE OF OHIO - MT. WASHINGTON,MedicalFacility,105.0,,,False,39.091513,,6131 Campus Ln,,Cincinnati,Hamilton,OH,45230,-84.388014,,,,,POINT (-84.388014 39.091513)
163,,THE LITTLE CLINIC OF OHIO LLC,MedicalFacility,105.0,,,False,39.143552,,6165 Glenway Ave,,Cincinnati,Hamilton,OH,45211,-84.621493,,,,,POINT (-84.621493 39.143552)
164,,SOUTH AVONDALE SCHOOL HEALTH CENTER,MedicalFacility,105.0,,,False,39.143076,,636 Prospect Pl,,Cincinnati,Hamilton,OH,45229,-84.49348,,,,,POINT (-84.49348000000001 39.143076)
165,,"LASER SPINE INSTITUTE, LLC",MedicalFacility,105.0,,,False,39.117439000000005,,644 Eden Park Dr,,Cincinnati,Hamilton,OH,45202,-84.49806600000001,,,,,POINT (-84.49806600000001 39.117439)
166,,MERCY HEALTH-SAYLER PARK HEALTH CENTER,MedicalFacility,105.0,,,False,39.115914000000004,,6700 Home City Ave,,Cincinnati,Hamilton,OH,45233,-84.690741,,,,,POINT (-84.690741 39.115914)
167,,PROCTER & GAMBLE-AIRPLANE OPERATION VIBRANT LIVING HEALTH CENTER,MedicalFacility,118.0,,,False,39.112722999999995,,700 Wilmer Ave Hngr 51, HANGER #51,Cincinnati,Hamilton,OH,45226,-84.41845699999999,,,,,POINT (-84.41845699999999 39.112723)
168,,"THE LITTLE CLINIC OF OHIO, LLC",MedicalFacility,105.0,,,False,39.224359,,7132 Hamilton Ave,,Cincinnati,Hamilton,OH,45231,-84.548652,,,,,POINT (-84.548652 39.224359)
169,,"MINUTECLINIC DIAGNOSTIC OF OHIO, LLC",MedicalFacility,105.0,,,False,39.072956,,7410 Beechmont Ave,,Cincinnati,Hamilton,OH,45255,-84.350549,,,,,POINT (-84.350549 39.072956)
170,,Mercy Health Physicians Anderson Infectious Disease,MedicalFacility,105.0,,,False,39.084494,,7502 State Rd Ste 2290,,Cincinnati,Hamilton,OH,45255,-84.348963,,,,,POINT (-84.348963 39.084494)
171,,"THE LITTLE CLINIC OF OHIO, LLC",MedicalFacility,105.0,,,False,39.072922,,7580 Beechmont Ave,,Cincinnati,Hamilton,OH,45255,-84.347602,,,,,POINT (-84.34760199999999 39.072922)
172,,"MADEIRA SENIOR PARTNERS, LLC",MedicalFacility,151.0,,,False,39.185676,,7650 CAMARGO ROAD,,MADEIRA,HAMILTON,OH,45243,-84.36502800000001,,,,,POINT (-84.36502800000001 39.185676)
173,,"ANDERSON ENDOSCOPY CENTER, LLC",MedicalFacility,105.0,,,False,39.072621000000005,,7661 Beechmont Ave Ste 100, STE 100,Cincinnati,Hamilton,OH,45255,-84.345577,,,,,POINT (-84.34557700000001 39.07262100000001)
174,,Optimize Health,MedicalFacility,105.0,,,False,39.197745,,7750 Montgomery Rd Ste 110,,Cincinnati,Hamilton,OH,45236,-84.383303,,,,,POINT (-84.383303 39.197745)
175,,"BERNSTEIN ALLERGY GROUP, INC.",MedicalFacility,105.0,,,False,39.220831,,8444 Winton Rd,,Cincinnati,Hamilton,OH,45231,-84.517607,,,,,POINT (-84.517607 39.220831)
176,"119 FAIRFIELD AVENUE, SUITE R102",,,,BELLEVUE,CAMPBELL,,39.103593,PhysicianOffices,,,,,,,,-84.4873078,ST ELIZABETH PHYSICIANS,MedicalFacility,41073.0,POINT (-84.4873078 39.103593)
177,103 LANDMARK DRIVE STE 200,,,,BELLEVUE,CAMPBELL,,39.099644031401404,PhysicianOffices,,,,,,,,-84.4859827185054,JIBRINI MD ASSOCIATES PLLC,MedicalFacility,41073.0,POINT (-84.4859827185054 39.0996440314014)
178,606 BUTTERMILK PIKE,,,,CRESCENT SPRINGS,KENTON,,39.052425158496,PhysicianOffices,,,,,,,,-84.5777814377942,"TAKE CARE HEALTH KENTUCKY, PSC",MedicalFacility,41017.0,POINT (-84.5777814377942 39.052425158496)
179,1500 JAMES SIMPSON JR WAY,,,,COVINGTON,KENTON,,39.071435,PhysicianOffices,,,,,,,,-84.51801400000001,ST ELIZABETH PHYSICIANS COVINGTON,MedicalFacility,41011.0,POINT (-84.51801400000001 39.071435)
180,2020 MADISON AVE,,,,COVINGTON,KENTON,,39.077580499999996,PhysicianOffices,,,,,,,,-84.5085946,ROSE GARDEN CENTER FOR HOPE AND HEALING,MedicalFacility,41014.0,POINT (-84.5085946 39.0775805)
181,"303 COURT STREET, 1ST FLOOR",,,,COVINGTON,KENTON,,39.088451991437296,PhysicianOffices,,,,,,,,-84.50872269144641,KENTON COUNTY- CITY OF COVINGTON,MedicalFacility,41011.0,POINT (-84.50872269144641 39.0884519914373)
182,806 SCOTT STREET,,,,COVINGTON,KENTON,,39.0655778,PhysicianOffices,,,,,,,,-84.5039405,"DAUGHERTY MEDICAL GROUP, PLLC",MedicalFacility,41011.0,POINT (-84.5039405 39.0655778)
183,700 DOLWICK DRIVE,,,,ERLANGER,KENTON,,39.047134,PhysicianOffices,,,,,,,,-84.616962,ORTHOCINCY,MedicalFacility,41018.0,POINT (-84.616962 39.047134)
184,1980 LITTON LANE,,,,HEBRON,BOONE,,39.077989838612,PhysicianOffices,,,,,,,,-84.708710980041,ST ELIZABETH PHYSICIANS,MedicalFacility,41048.0,POINT (-84.708710980041 39.077989838612)
185,"2093 MEDICAL ARTS DRIVE, 1ST FLOOR",,,,HEBRON,BOONE,,39.0789156150997,PhysicianOffices,,,,,,,,-84.7062574633,ST ELIZABETH PHYSICIANS,MedicalFacility,41048.0,POINT (-84.70625746330001 39.0789156150997)
186,1400 GRAND AVENUE,,,,NEWPORT,CAMPBELL,,39.08064,PhysicianOffices,,,,,,,,-84.469422,ST ELIZABETH PHYSICIANS,MedicalFacility,41071.0,POINT (-84.46942199999999 39.08064)
187,525 ALEXANDRIA PIKE #120,,,,SOUTHGATE,CAMPBELL,,39.0674658,PhysicianOffices,,,,,,,,-84.46603950000001,KIDNEY AND HYPERTENSION CENTER,MedicalFacility,41071.0,POINT (-84.46603950000001 39.0674658)
188,,"THE ASHFORD AT MT. WASHINGTON, LLC",NursingAssisted,151.0,,,False,39.091475,,1131 DELIQUIA DRIVE,,CINCINNATI,HAMILTON,OH,45230,-84.39183100000001,,,,,POINT (-84.39183100000001 39.091475)
189,,"WOODS EDGE REHAB AND NURSING, LLC",NursingAssisted,154.0,,,False,39.182969,,1171 TOWNE STREET,,CINCINNATI,HAMILTON,OH,45216,-84.477928,,,,,POINT (-84.47792800000001 39.182969)
190,,NEW SCOTLAND HEALTH CARE LLC,NursingAssisted,2.0,,,False,39.13215,,1346 LINCOLN AVENUE,,CINCINNATI,HAMILTON,OH,45206,-84.48034,,,,,POINT (-84.48034 39.13215)
191,,"NORWOOD TOWERS HEALTHCARE, LLC",NursingAssisted,154.0,,,False,39.161777,,1500 SHERMAN AVENUE,,NORWOOD,HAMILTON,OH,45212,-84.472959,,,,,POINT (-84.472959 39.161777)
192,,PREMIER ESTATES 524 LLC,NursingAssisted,2.0,,,False,39.161774,,1500 SHERMAN AVENUE,,CINCINNATI,HAMILTON,OH,45212,-84.472995,,,,,POINT (-84.472995 39.161774)
193,,"DRAKE CENTER, INC.",NursingAssisted,154.0,,,False,39.213287,,151 WEST GALBRAITH ROAD,,CINCINNATI,HAMILTON,OH,45216,-84.47861999999999,,,,,POINT (-84.47861999999999 39.213287)
194,,"NORWOOD HIGHLANDS HEALTHCARE, LLC",NursingAssisted,154.0,,,False,39.161662,,1578 SHERMAN AVENUE,,NORWOOD,HAMILTON,OH,45212,-84.470827,,,,,POINT (-84.470827 39.161662)
195,,"DRAKE DEVELOPMENT, INC.",NursingAssisted,151.0,,,False,39.213473,,165 WEST GALBRAITH ROAD,,CINCINNATI,HAMILTON,OH,45216,-84.480847,,,,,POINT (-84.480847 39.213473)
196,,OPRS COMMUNITIES,NursingAssisted,154.0,,,False,39.196694,,1701 LLANFAIR AVENUE,,CINCINNATI,HAMILTON,OH,45224,-84.54924399999999,,,,,POINT (-84.54924399999999 39.196694)
197,,"JUSTARR, INC.",NursingAssisted,151.0,,,False,39.118959000000004,,1857 GRAND AVENUE,,CINCINNATI,HAMILTON,OH,45214,-84.559037,,,,,POINT (-84.559037 39.118959)
198,,"JUSTARR, INC.",NursingAssisted,151.0,,,False,39.118972,,1859 GRAND AVENUE,,CINCINNATI,HAMILTON,OH,45214,-84.559024,,,,,POINT (-84.55902399999999 39.118972)
199,,"SAINT MARGARET HALL, INCORPORATED",NursingAssisted,154.0,,,False,39.131533000000005,,1960 MADISON ROAD,,CINCINNATI,HAMILTON,OH,45206,-84.464749,,,,,POINT (-84.464749 39.131533)
200,,"IVY HEALTH CARE, INC.",NursingAssisted,154.0,,,False,39.123746999999995,,2025 WYOMING AVENUE,,CINCINNATI,HAMILTON,OH,45205,-84.574438,,,,,POINT (-84.574438 39.12374699999999)
201,,BEECHWOOD HOME,NursingAssisted,154.0,,,False,39.135768,,2140 POGUE AVENUE,,CINCINNATI,HAMILTON,OH,45208,-84.459457,,,,,POINT (-84.459457 39.135768)
202,,HP HEALTHCARE LLC,NursingAssisted,154.0,,,False,39.133815999999996,,2171 HARRISON AVENUE,,CINCINNATI,HAMILTON,OH,45211,-84.571512,,,,,POINT (-84.571512 39.133816)
203,,MT. AIRY GARDENS REHABILITATION AND CARE CENTER LLC,NursingAssisted,154.0,,,False,39.204326,,2250 BANNING ROAD,,CINCINNATI,HAMILTON,OH,45239,-84.565201,,,,,POINT (-84.565201 39.204326)
204,,"GA HC REIT II EVERGREEN TRS SUB, LLC",NursingAssisted,151.0,,,False,39.214107,,230 WEST GALBRAITH ROAD,,CINCINNATI,HAMILTON,OH,45215,-84.484769,,,,,POINT (-84.484769 39.214107)
205,,"JUDSON CARE CENTER, INC.",NursingAssisted,154.0,,,False,39.138366999999995,,2373 HARRISON AVENUE,,CINCINNATI,HAMILTON,OH,45211,-84.578804,,,,,POINT (-84.57880400000001 39.138367)
206,,"MFF MOUNTAIN CREST, LLC",NursingAssisted,154.0,,,False,39.132079,,2586 LAFEUILLE AVENUE,,CINCINNATI,HAMILTON,OH,45211,-84.588552,,,,,POINT (-84.58855200000001 39.132079)
207,,"MERCY FRANCISCAN SENIOR HEALTH & HOUSING SERVICES, INC.",NursingAssisted,154.0,,,False,39.13048,,2950 WEST PARK DRIVE,,CINCINNATI,HAMILTON,OH,45238,-84.600248,,,,,POINT (-84.60024799999999 39.13048)
208,,PRESERVE OPERATING CO. LLC.,NursingAssisted,154.0,,,False,39.082910999999996,,315 LILIENTHAL AVENUE,,CINCINNATI,HAMILTON,OH,45204,-84.584998,,,,,POINT (-84.584998 39.082911)
209,,"COVENANT VILLAGE OF GREEN TOWNSHIP, LLC",NursingAssisted,154.0,,,False,39.182984999999995,,3210 WEST FORK ROAD,,CINCINNATI,HAMILTON,OH,45211,-84.594844,,,,,POINT (-84.59484399999999 39.182985)
210,,GARDEN PARK HEALTH CARE CENTER LLC,NursingAssisted,2.0,,,False,39.146029,,3536 WASHINGTON AVE,,CINCINNATI,HAMILTON,OH,45229,-84.494947,,,,,POINT (-84.494947 39.146029)
211,,"GARDEN PARK HEALTH CARE CENTER, LLC",NursingAssisted,154.0,,,False,39.146203,,3544 WASHINGTON AVENUE,,CINCINNATI,HAMILTON,OH,45229,-84.494924,,,,,POINT (-84.494924 39.146203)
212,,"EPISCOPAL RETIREMENT HOMES, INC.",NursingAssisted,154.0,,,False,39.14082,,3550 SHAW AVENUE,,CINCINNATI,HAMILTON,OH,45208,-84.439832,,,,,POINT (-84.439832 39.14082)
213,,"ASTORIA PLACE OF CINCINNATI, LLC",NursingAssisted,154.0,,,False,39.149328000000004,,3627 HARVEY AVENUE,,CINCINNATI,HAMILTON,OH,45229,-84.496181,,,,,POINT (-84.49618100000001 39.149328)
214,,"S-H THIRTY-FIVE OPCO - AMBER PARK, LLC",NursingAssisted,151.0,,,False,39.208805,,3801 EAST GALBRAITH ROAD,,CINCINNATI,HAMILTON,OH,45236,-84.40639300000001,,,,,POINT (-84.40639300000001 39.208805)
215,,"WEXFORD CARE CENTER, INC.",NursingAssisted,154.0,,,False,39.208703,,3875 EAST GALBRAITH ROAD,,CINCINNATI,HAMILTON,OH,45236,-84.404464,,,,,POINT (-84.404464 39.208703)
216,,WEXFORD PLACE INC.,NursingAssisted,2.0,,,False,39.208686,,3889 EAST GALBRAITH ROAD,,CINCINNATI,HAMILTON,OH,45236,-84.404247,,,,,POINT (-84.404247 39.208686)
217,,"CHS-OHIO VALLEY, INC.",NursingAssisted,154.0,,,False,39.158234,,3904 NORTH BEND ROAD,,CINCINNATI,HAMILTON,OH,45211,-84.60595699999999,,,,,POINT (-84.60595699999999 39.158234)
218,,"EPISCOPAL RETIREMENT HOMES, INC",NursingAssisted,151.0,,,False,39.148953999999996,,3939 ERIE AVENUE,,CINCINNATI,HAMILTON,OH,45208,-84.40830799999999,,,,,POINT (-84.40830799999999 39.148954)
219,,EPISCOPAL RETIREMENT HOMES INC,NursingAssisted,154.0,,,False,39.149702000000005,,3999 ERIE AVENUE,,CINCINNATI,HAMILTON,OH,45208,-84.406871,,,,,POINT (-84.406871 39.149702)
220,,"CINCINNATI SENIOR CARE, LLC",NursingAssisted,151.0,,,False,39.151315000000004,,4001 ROSSLYN DRIVE,,CINCINNATI,HAMILTON,OH,45209,-84.408677,,,,,POINT (-84.408677 39.151315)
221,,"BRIDGETOWN HEALTH CARE, LLC",NursingAssisted,154.0,,,False,39.158002,,4307 BRIDGETOWN ROAD,,CINCINNATI,HAMILTON,OH,45211,-84.621076,,,,,POINT (-84.621076 39.158002)
222,,HILLEBRAND NURSING AND REHAB CENTER,NursingAssisted,2.0,,,False,39.158228,,4320 BRIDGETOWN ROAD,,CINCINNATI,HAMILTON,OH,45211,-84.62174300000001,,,,,POINT (-84.62174300000001 39.158228)
223,,SCARLET OAKS NURSING AND REHABILITATION CENTER LLC,NursingAssisted,154.0,,,False,39.155923,,440 LAFAYETTE AVENUE,,CINCINNATI,HAMILTON,OH,45220,-84.523892,,,,,POINT (-84.523892 39.155923)
224,,"ARDEN COURTS OF KENWOOD OH, LLC",NursingAssisted,151.0,,,False,39.207395,,4580 E GALBRAITH ROAD,,KENWOOD,HAMILTON,OH,45236,-84.385551,,,,,POINT (-84.38555100000001 39.207395)
225,,"WC-KENWOOD OPS, LLC",NursingAssisted,151.0,,,False,39.207236,,4650 EAST GALBRAITH ROAD,,CINCINNATI,HAMILTON,OH,45236,-84.383725,,,,,POINT (-84.383725 39.207236)
226,,ARCHBISHOP LEIBOLD HOME,NursingAssisted,2.0,,,False,39.135752000000004,,476 RIDDLE ROAD,,CINCINNATI,HAMILTON,OH,45220,-84.52342900000001,,,,,POINT (-84.52342900000001 39.135752)
227,,"BABSON SENIOR CARE, LLC",NursingAssisted,151.0,,,False,39.159649,,4855 BABSON PLACE,,CINCINNATI,HAMILTON,OH,45227,-84.408237,,,,,POINT (-84.408237 39.159649)
228,,INDIANSPRING HEALTH CARE CENTER LLC,NursingAssisted,154.0,,,False,39.1584,,4900 BABSON PLACE,,CINCINNATI,HAMILTON,OH,45227,-84.3774,,,,,POINT (-84.37739999999999 39.1584)
229,,PEREGRINE HEALTH SERVICES OF CINCINNATI LLC,NursingAssisted,154.0,,,False,39.130763,,510 OAK STREET,,CINCINNATI,HAMILTON,OH,45219,-84.499633,,,,,POINT (-84.499633 39.130763)
230,,"CSL CINCINNATI, LLC",NursingAssisted,151.0,,,False,39.187202,,5156 NORTH BEND CROSSING,,CINCINNATI,HAMILTON,OH,45247,-84.607741,,,,,POINT (-84.607741 39.187202)
231,,TWIN TOWERS,NursingAssisted,2.0,,,False,39.187508,,5343 HAMILTON AVENUE,,CINCINNATI,HAMILTON,OH,45224,-84.54534,,,,,POINT (-84.54534 39.187508)
232,,"SENIOR STAR TENANT KENWOOD, LLC",NursingAssisted,154.0,,,False,39.166022,,5435 KENWOOD ROAD,,CINCINNATI,HAMILTON,OH,45227,-84.386348,,,,,POINT (-84.386348 39.166022)
233,,"SENIOR STAR TENANT KENWOOD, LLC",NursingAssisted,151.0,,,False,39.166121999999994,,5445 KENWOOD ROAD,,CINCINNATI,HAMILTON,OH,45227,-84.38615,,,,,POINT (-84.38615 39.16612199999999)
234,,PLEASANT RIDGE CARE CENTER INC,NursingAssisted,154.0,,,False,39.174391,,5501 VERULAM AVENUE,,CINCINNATI,HAMILTON,OH,45213,-84.430716,,,,,POINT (-84.430716 39.174391)
235,,"ARTIS SENIOR LIVING OF GREEN TOWNSHIP, LLC",NursingAssisted,151.0,,,False,39.159831,,5799 BRIDGETOWN ROAD,,CINCINNATI,HAMILTON,OH,45248,-84.6393,,,,,POINT (-84.63930000000001 39.159831)
236,,"SISTER OF CHARITY OF CINCINNATI, OHIO",NursingAssisted,154.0,,,False,39.097,,5900 DELHI ROAD,,MOUNT SAINT JOSEPH,HAMILTON,OH,45051,-84.6471,,,,,POINT (-84.64709999999999 39.097)
237,,"MADEIRA HEALTHCARE, LLC",NursingAssisted,154.0,,,False,39.175028000000005,,5970 KENWOOD ROAD,,MADEIRA,HAMILTON,OH,45243,-84.384103,,,,,POINT (-84.384103 39.175028)
238,,"CINCINNATI RIVERVIEW HEALTHCARE, LLC",NursingAssisted,154.0,,,False,39.102222,,5999 BENDER ROAD,,CINCINNATI,HAMILTON,OH,45233,-84.65061899999999,,,,,POINT (-84.65061899999999 39.102222)
239,,"FHS SALEM, INC.",NursingAssisted,154.0,,,False,39.075398,,6164 SALEM ROAD,,CINCINNATI,HAMILTON,OH,45230,-84.39014300000001,,,,,POINT (-84.39014300000001 39.075398)
240,,EBENEZER ROAD CORPORATION,NursingAssisted,154.0,,,False,39.119946999999996,,6210 CLEVES WARSAW ROAD,,CINCINNATI,HAMILTON,OH,45233,-84.65607800000001,,,,,POINT (-84.65607800000001 39.119947)
241,,CLIFTON CARE CENTER INC,NursingAssisted,154.0,,,False,39.13452,,625 PROBASCO STREET,,CINCINNATI,HAMILTON,OH,45220,-84.52720699999999,,,,,POINT (-84.52720699999999 39.13452)
242,,"CA SENIOR ANDERSON TOWNSHIP OPERATOR, LLC",NursingAssisted,151.0,,,False,39.079803999999996,,6849 BEECHMONT AVENUE,,CINCINNATI,HAMILTON,OH,45230,-84.371276,,,,,POINT (-84.37127599999999 39.079804)
243,,"ARDEN COURTS-ANDERSON OF CINCINNATI OH, LLC",NursingAssisted,151.0,,,False,39.094978999999995,,6870 CLOUGH PIKE,,CINCINNATI,HAMILTON,OH,45244,-84.366687,,,,,POINT (-84.366687 39.094979)
244,,MOUNT WASHINGTON CARE CENTER,NursingAssisted,154.0,,,False,39.078942,,6900 BEECHMONT AVENUE,,CINCINNATI,HAMILTON,OH,45230,-84.368921,,,,,POINT (-84.368921 39.078942)
245,,"ASTORIA PLACE OF SILVERTON, LLC",NursingAssisted,154.0,,,False,39.19475,,6922 OHIO AVENUE,,CINCINNATI,HAMILTON,OH,45236,-84.404546,,,,,POINT (-84.404546 39.19475)
246,,HARMONY COURT REHAB AND NURSING LLC,NursingAssisted,2.0,,,False,39.188676,,6969 GLENMEADOW LANE,,CINCINNATI,HAMILTON,OH,45237,-84.468226,,,,,POINT (-84.468226 39.188676)
