Chemical,Concentration_ng_L_Error,Concentration_ng_L_Value,Day,Mass_Load_g_d_Error,Mass_Load_g_d_Value,Month,Population_Normalized_Mass_Lo_1,Population_Normalized_Mass_Load,Sample_Date,Site,Week
Fentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(10) October,-10000,-9999.99,2018-10-04 03:00:00,TP04,20
Fentanyl,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(10) October,-10000,-9999.99,2018-10-05 03:00:00,TP04,20
Fentanyl,0.15,2.84,(6) Sat,0.0,0.02,(10) October,0,3.91,2018-10-06 03:00:00,TP04,20
Fentanyl,0.11,2.37,(7) Sun,0.0,0.02,(10) October,0,3.61,2018-10-07 03:00:00,TP04,20
Norfentanyl,0.15,6.44,(1) Mon,0.0,0.05,(10) October,0,8.27,2018-10-01 03:00:00,TP04,20
Norfentanyl,0.12,9.55,(2) Tue,0.0,0.08,(10) October,0,14.99,2018-10-02 03:00:00,TP04,20
Norfentanyl,0.72,4.88,(3) Wed,0.01,0.04,(10) October,0,7.11,2018-10-03 03:00:00,TP04,20
Norfentanyl,0.1,7.8,(4) Thu,0.0,0.06,(10) October,0,10.73,2018-10-04 03:00:00,TP04,20
Norfentanyl,1.03,8.0,(5) Fri,0.01,0.06,(10) October,0,11.66,2018-10-05 03:00:00,TP04,20
Norfentanyl,0.82,7.6,(6) Sat,0.01,0.06,(10) October,0,10.46,2018-10-06 03:00:00,TP04,20
Norfentanyl,0.55,4.34,(7) Sun,0.0,0.04,(10) October,0,6.61,2018-10-07 03:00:00,TP04,20
Heroin,0.02,21.95,(1) Mon,0.0,0.15,(10) October,0,28.19,2018-10-01 03:00:00,TP04,20
Heroin,0.97,23.58,(2) Tue,0.01,0.2,(10) October,0,36.99,2018-10-02 03:00:00,TP04,20
Heroin,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(10) October,-10000,-9999.99,2018-10-03 03:00:00,TP04,20
Heroin,0.45,22.3,(4) Thu,0.0,0.17,(10) October,0,30.65,2018-10-04 03:00:00,TP04,20
Heroin,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(10) October,-10000,-9999.99,2018-10-05 03:00:00,TP04,20
Heroin,0.18,17.16,(6) Sat,0.0,0.13,(10) October,0,23.62,2018-10-06 03:00:00,TP04,20
Heroin,0.02,12.74,(7) Sun,0.0,0.11,(10) October,0,19.41,2018-10-07 03:00:00,TP04,20
6-Acetylmorphine,0.78,26.82,(1) Mon,0.01,0.19,(10) October,0,34.44,2018-10-01 03:00:00,TP04,20
6-Acetylmorphine,1.66,34.02,(2) Tue,0.01,0.29,(10) October,0,53.38,2018-10-02 03:00:00,TP04,20
6-Acetylmorphine,0.31,9.02,(3) Wed,0.0,0.07,(10) October,0,13.15,2018-10-03 03:00:00,TP04,20
6-Acetylmorphine,0.14,30.85,(4) Thu,0.0,0.23,(10) October,0,42.4,2018-10-04 03:00:00,TP04,20
6-Acetylmorphine,1.19,15.27,(5) Fri,0.01,0.12,(10) October,0,22.26,2018-10-05 03:00:00,TP04,20
6-Acetylmorphine,2.62,26.81,(6) Sat,0.02,0.2,(10) October,0,36.9,2018-10-06 03:00:00,TP04,20
6-Acetylmorphine,1.29,17.28,(7) Sun,0.01,0.14,(10) October,0,26.33,2018-10-07 03:00:00,TP04,20
Oxycodone,1.1,38.6,(1) Mon,0.0,0.05,(11) November,0,8.52,2018-11-13 02:00:00,TP04,26
Oxycodone,0.62,25.12,(2) Tue,0.0,0.0,(11) November,0,0.08,2018-11-14 02:00:00,TP04,26
Oxycodone,0.26,45.28,(3) Wed,0.0,0.08,(11) November,0,15.25,2018-11-15 02:00:00,TP04,26
Oxycodone,1.0,12.23,(4) Thu,0.0,0.02,(11) November,0,2.91,2018-11-16 02:00:00,TP04,26
Oxycodone,0.97,24.7,(5) Fri,0.0,0.08,(11) November,1,13.95,2018-11-17 02:00:00,TP04,26
Oxycodone,0.8,11.2,(6) Sat,0.0,0.03,(11) November,0,5.67,2018-11-18 02:00:00,TP04,26
Noroxycodone,1.69,37.92,(1) Mon,0.0,0.05,(11) November,0,8.37,2018-11-13 02:00:00,TP04,26
Noroxycodone,0.29,33.91,(2) Tue,0.0,0.0,(11) November,0,0.11,2018-11-14 02:00:00,TP04,26
Noroxycodone,0.36,68.15,(3) Wed,0.0,0.13,(11) November,0,22.95,2018-11-15 02:00:00,TP04,26
Noroxycodone,0.79,26.08,(4) Thu,0.0,0.03,(11) November,0,6.22,2018-11-16 02:00:00,TP04,26
Noroxycodone,0.59,28.1,(5) Fri,0.0,0.09,(11) November,0,15.87,2018-11-17 02:00:00,TP04,26
Noroxycodone,0.3,17.1,(6) Sat,0.0,0.05,(11) November,0,8.65,2018-11-18 02:00:00,TP04,26
Codeine,3.26,36.46,(1) Mon,0.0,0.04,(11) November,1,8.05,2018-11-13 02:00:00,TP04,26
Codeine,0.75,38.93,(2) Tue,0.0,0.0,(11) November,0,0.12,2018-11-14 02:00:00,TP04,26
Codeine,0.06,53.64,(3) Wed,0.0,0.1,(11) November,0,18.06,2018-11-15 02:00:00,TP04,26
Codeine,3.83,36.7,(4) Thu,0.0,0.05,(11) November,1,8.75,2018-11-16 02:00:00,TP04,26
Codeine,0.06,34.42,(5) Fri,0.0,0.11,(11) November,0,19.44,2018-11-17 02:00:00,TP04,26
Codeine,1.43,38.72,(6) Sat,0.0,0.11,(11) November,1,19.59,2018-11-18 02:00:00,TP04,26
Fentanyl,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(11) November,-10000,-9999.99,2018-11-13 02:00:00,TP04,26
Fentanyl,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(11) November,-10000,-9999.99,2018-11-14 02:00:00,TP04,26
Fentanyl,0.01,0.72,(3) Wed,0.0,0.0,(11) November,0,0.24,2018-11-15 02:00:00,TP04,26
Fentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(11) November,-10000,-9999.99,2018-11-16 02:00:00,TP04,26
Fentanyl,0.06,0.46,(5) Fri,0.0,0.0,(11) November,0,0.26,2018-11-17 02:00:00,TP04,26
Fentanyl,0.01,0.36,(6) Sat,0.0,0.0,(11) November,0,0.18,2018-11-18 02:00:00,TP04,26
Norfentanyl,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(11) November,-10000,-9999.99,2018-11-13 02:00:00,TP04,26
Norfentanyl,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(11) November,-10000,-9999.99,2018-11-14 02:00:00,TP04,26
Norfentanyl,0.42,3.69,(3) Wed,0.0,0.01,(11) November,0,1.24,2018-11-15 02:00:00,TP04,26
Norfentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(11) November,-10000,-9999.99,2018-11-16 02:00:00,TP04,26
Norfentanyl,0.05,1.72,(5) Fri,0.0,0.01,(11) November,0,0.97,2018-11-17 02:00:00,TP04,26
Norfentanyl,-9999.99,-9999.99,(6) Sat,-9999.99,-9999.99,(11) November,-10000,-9999.99,2018-11-18 02:00:00,TP04,26
Heroin,0.24,5.29,(1) Mon,0.0,0.01,(11) November,0,1.17,2018-11-13 02:00:00,TP04,26
Heroin,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(11) November,-10000,-9999.99,2018-11-14 02:00:00,TP04,26
Heroin,0.45,14.92,(3) Wed,0.0,0.03,(11) November,0,5.02,2018-11-15 02:00:00,TP04,26
Heroin,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(11) November,-10000,-9999.99,2018-11-16 02:00:00,TP04,26
Heroin,0.18,7.0,(5) Fri,0.0,0.02,(11) November,0,3.95,2018-11-17 02:00:00,TP04,26
Heroin,1.05,8.12,(6) Sat,0.0,0.02,(11) November,1,4.11,2018-11-18 02:00:00,TP04,26
6-Acetylmorphine,1.52,56.95,(1) Mon,0.0,0.07,(11) November,0,12.57,2018-11-13 02:00:00,TP04,26
6-Acetylmorphine,0.27,6.95,(2) Tue,0.0,0.0,(11) November,0,0.02,2018-11-14 02:00:00,TP04,26
6-Acetylmorphine,0.88,18.27,(3) Wed,0.0,0.03,(11) November,0,6.15,2018-11-15 02:00:00,TP04,26
6-Acetylmorphine,0.27,8.71,(4) Thu,0.0,0.01,(11) November,0,2.08,2018-11-16 02:00:00,TP04,26
6-Acetylmorphine,0.78,14.84,(5) Fri,0.0,0.05,(11) November,0,8.38,2018-11-17 02:00:00,TP04,26
6-Acetylmorphine,0.33,13.85,(6) Sat,0.0,0.04,(11) November,0,7.01,2018-11-18 02:00:00,TP04,26
Oxycodone,0.21,38.77,(7) Sun,0.0,0.1,(11) November,0,18.33,2018-11-19 02:00:00,TP04,27
Noroxycodone,1.31,50.34,(7) Sun,0.0,0.13,(11) November,1,23.79,2018-11-19 02:00:00,TP04,27
Codeine,0.33,59.58,(7) Sun,0.0,0.15,(11) November,0,28.16,2018-11-19 02:00:00,TP04,27
Fentanyl,0.01,0.73,(7) Sun,0.0,0.0,(11) November,0,0.35,2018-11-19 02:00:00,TP04,27
Norfentanyl,0.28,2.91,(7) Sun,0.0,0.01,(11) November,0,1.37,2018-11-19 02:00:00,TP04,27
Heroin,0.77,11.34,(7) Sun,0.0,0.03,(11) November,0,5.36,2018-11-19 02:00:00,TP04,27
6-Acetylmorphine,0.27,11.55,(7) Sun,0.0,0.03,(11) November,0,5.46,2018-11-19 02:00:00,TP04,27
Oxycodone,0.29,30.18,(1) Mon,0.0,0.0,(12) December,0,0.11,2018-12-03 02:00:00,TP04,29
Oxycodone,0.48,49.62,(2) Tue,0.0,0.0,(12) December,0,0.8,2018-12-04 02:00:00,TP04,29
Oxycodone,0.42,42.86,(3) Wed,0.0,0.0,(12) December,0,0.13,2018-12-05 02:00:00,TP04,29
Oxycodone,0.58,59.71,(4) Thu,0.0,0.24,(12) December,0,44.43,2018-12-06 02:00:00,TP04,29
Oxycodone,0.43,43.93,(5) Fri,0.0,0.33,(12) December,1,61.34,2018-12-07 02:00:00,TP04,29
Oxycodone,0.21,22.13,(6) Sat,0.0,0.15,(12) December,0,28.11,2018-12-08 02:00:00,TP04,29
Oxycodone,0.32,33.09,(7) Sun,0.0,0.23,(12) December,0,41.36,2018-12-09 02:00:00,TP04,29
Noroxycodone,1.5,34.62,(1) Mon,0.0,0.0,(12) December,0,0.13,2018-12-03 02:00:00,TP04,29
Noroxycodone,3.46,79.83,(2) Tue,0.0,0.01,(12) December,0,1.28,2018-12-04 02:00:00,TP04,29
Noroxycodone,2.73,62.99,(3) Wed,0.0,0.0,(12) December,0,0.2,2018-12-05 02:00:00,TP04,29
Noroxycodone,3.95,91.24,(4) Thu,0.02,0.37,(12) December,3,67.89,2018-12-06 02:00:00,TP04,29
Noroxycodone,3.0,69.29,(5) Fri,0.02,0.53,(12) December,4,96.75,2018-12-07 02:00:00,TP04,29
Noroxycodone,1.37,31.7,(6) Sat,0.01,0.22,(12) December,2,40.26,2018-12-08 02:00:00,TP04,29
Noroxycodone,1.49,34.3,(7) Sun,0.01,0.23,(12) December,2,42.88,2018-12-09 02:00:00,TP04,29
Codeine,2.91,39.49,(1) Mon,0.0,0.0,(12) December,0,0.15,2018-12-03 02:00:00,TP04,29
Codeine,4.34,58.88,(2) Tue,0.0,0.01,(12) December,0,0.95,2018-12-04 02:00:00,TP04,29
Codeine,3.75,50.87,(3) Wed,0.0,0.0,(12) December,0,0.16,2018-12-05 02:00:00,TP04,29
Codeine,4.43,60.01,(4) Thu,0.02,0.24,(12) December,3,44.65,2018-12-06 02:00:00,TP04,29
Codeine,4.35,59.01,(5) Fri,0.03,0.45,(12) December,6,82.39,2018-12-07 02:00:00,TP04,29
Codeine,3.04,41.23,(6) Sat,0.02,0.29,(12) December,4,52.36,2018-12-08 02:00:00,TP04,29
Codeine,2.22,30.08,(7) Sun,0.02,0.21,(12) December,3,37.6,2018-12-09 02:00:00,TP04,29
Fentanyl,0.01,0.97,(1) Mon,0.0,0.0,(12) December,0,0.0,2018-12-03 02:00:00,TP04,29
Fentanyl,0.02,1.77,(2) Tue,0.0,0.0,(12) December,0,0.03,2018-12-04 02:00:00,TP04,29
Fentanyl,0.01,1.46,(3) Wed,0.0,0.0,(12) December,0,0.0,2018-12-05 02:00:00,TP04,29
Fentanyl,0.02,2.27,(4) Thu,0.0,0.01,(12) December,0,1.69,2018-12-06 02:00:00,TP04,29
Fentanyl,0.02,1.98,(5) Fri,0.0,0.02,(12) December,0,2.77,2018-12-07 02:00:00,TP04,29
Fentanyl,0.01,1.28,(6) Sat,0.0,0.01,(12) December,0,1.63,2018-12-08 02:00:00,TP04,29
Fentanyl,0.01,1.19,(7) Sun,0.0,0.01,(12) December,0,1.49,2018-12-09 02:00:00,TP04,29
Norfentanyl,0.13,1.53,(1) Mon,0.0,0.0,(12) December,0,0.01,2018-12-03 02:00:00,TP04,29
Norfentanyl,0.48,5.78,(2) Tue,0.0,0.0,(12) December,0,0.09,2018-12-04 02:00:00,TP04,29
Norfentanyl,0.67,8.07,(3) Wed,0.0,0.0,(12) December,0,0.03,2018-12-05 02:00:00,TP04,29
Norfentanyl,0.63,7.56,(4) Thu,0.0,0.03,(12) December,0,5.63,2018-12-06 02:00:00,TP04,29
Norfentanyl,0.6,7.22,(5) Fri,0.0,0.05,(12) December,1,10.08,2018-12-07 02:00:00,TP04,29
Norfentanyl,0.53,6.39,(6) Sat,0.0,0.04,(12) December,1,8.11,2018-12-08 02:00:00,TP04,29
Norfentanyl,0.6,7.23,(7) Sun,0.0,0.05,(12) December,1,9.04,2018-12-09 02:00:00,TP04,29
Heroin,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(12) December,-10000,-9999.99,2018-12-03 02:00:00,TP04,29
Heroin,0.05,10.68,(2) Tue,0.0,0.0,(12) December,0,0.17,2018-12-04 02:00:00,TP04,29
Heroin,0.11,23.95,(3) Wed,0.0,0.0,(12) December,0,0.07,2018-12-05 02:00:00,TP04,29
Heroin,0.04,8.91,(4) Thu,0.0,0.04,(12) December,0,6.63,2018-12-06 02:00:00,TP04,29
Heroin,0.05,11.19,(5) Fri,0.0,0.09,(12) December,0,15.62,2018-12-07 02:00:00,TP04,29
Heroin,0.06,13.32,(6) Sat,0.0,0.09,(12) December,0,16.91,2018-12-08 02:00:00,TP04,29
Heroin,0.06,14.27,(7) Sun,0.0,0.1,(12) December,0,17.84,2018-12-09 02:00:00,TP04,29
6-Acetylmorphine,0.03,4.95,(1) Mon,0.0,0.0,(12) December,0,0.02,2018-12-03 02:00:00,TP04,29
6-Acetylmorphine,0.08,13.12,(2) Tue,0.0,0.0,(12) December,0,0.21,2018-12-04 02:00:00,TP04,29
6-Acetylmorphine,0.15,23.83,(3) Wed,0.0,0.0,(12) December,0,0.07,2018-12-05 02:00:00,TP04,29
6-Acetylmorphine,0.09,14.47,(4) Thu,0.0,0.06,(12) December,0,10.77,2018-12-06 02:00:00,TP04,29
6-Acetylmorphine,0.15,23.09,(5) Fri,0.0,0.18,(12) December,0,32.25,2018-12-07 02:00:00,TP04,29
6-Acetylmorphine,0.1,15.15,(6) Sat,0.0,0.1,(12) December,0,19.24,2018-12-08 02:00:00,TP04,29
6-Acetylmorphine,0.09,13.24,(7) Sun,0.0,0.09,(12) December,0,16.55,2018-12-09 02:00:00,TP04,29
Oxycodone,0.5,39.42,(1) Mon,0.0,0.3,(01) January,1,55.73,2019-01-07 02:00:00,TP04,34
Oxycodone,0.51,39.67,(2) Tue,0.0,0.31,(01) January,1,56.1,2019-01-08 02:00:00,TP04,34
Oxycodone,0.63,48.87,(3) Wed,0.0,0.38,(01) January,1,69.21,2019-01-09 02:00:00,TP04,34
Oxycodone,0.58,45.7,(4) Thu,0.0,0.36,(01) January,1,65.34,2019-01-10 02:00:00,TP04,34
Oxycodone,0.52,40.27,(5) Fri,0.0,0.3,(01) January,1,55.17,2019-01-11 02:00:00,TP04,34
Oxycodone,0.28,22.11,(6) Sat,0.0,0.15,(01) January,0,26.76,2019-01-12 02:00:00,TP04,34
Oxycodone,0.25,19.5,(7) Sun,0.0,0.13,(01) January,0,23.82,2019-01-13 02:00:00,TP04,34
Noroxycodone,0.35,47.26,(1) Mon,0.0,0.36,(01) January,0,66.82,2019-01-07 02:00:00,TP04,34
Noroxycodone,0.36,48.88,(2) Tue,0.0,0.38,(01) January,1,69.14,2019-01-08 02:00:00,TP04,34
Noroxycodone,0.41,54.96,(3) Wed,0.0,0.42,(01) January,1,77.83,2019-01-09 02:00:00,TP04,34
Noroxycodone,0.53,71.48,(4) Thu,0.0,0.56,(01) January,1,102.22,2019-01-10 02:00:00,TP04,34
Noroxycodone,0.47,64.03,(5) Fri,0.0,0.48,(01) January,1,87.71,2019-01-11 02:00:00,TP04,34
Noroxycodone,0.18,24.49,(6) Sat,0.0,0.16,(01) January,0,29.63,2019-01-12 02:00:00,TP04,34
Noroxycodone,0.18,24.22,(7) Sun,0.0,0.16,(01) January,0,29.59,2019-01-13 02:00:00,TP04,34
Codeine,0.42,47.43,(1) Mon,0.0,0.37,(01) January,1,67.06,2019-01-07 02:00:00,TP04,34
Codeine,0.42,47.98,(2) Tue,0.0,0.37,(01) January,1,67.87,2019-01-08 02:00:00,TP04,34
Codeine,0.53,60.43,(3) Wed,0.0,0.47,(01) January,1,85.59,2019-01-09 02:00:00,TP04,34
Codeine,0.43,48.59,(4) Thu,0.0,0.38,(01) January,1,69.48,2019-01-10 02:00:00,TP04,34
Codeine,0.58,66.49,(5) Fri,0.0,0.5,(01) January,1,91.08,2019-01-11 02:00:00,TP04,34
Codeine,0.33,37.53,(6) Sat,0.0,0.25,(01) January,0,45.41,2019-01-12 02:00:00,TP04,34
Codeine,0.23,25.67,(7) Sun,0.0,0.17,(01) January,0,31.36,2019-01-13 02:00:00,TP04,34
Fentanyl,0.12,8.4,(1) Mon,0.0,0.06,(01) January,0,11.88,2019-01-07 02:00:00,TP04,34
Fentanyl,0.11,8.15,(2) Tue,0.0,0.06,(01) January,0,11.52,2019-01-08 02:00:00,TP04,34
Fentanyl,0.12,8.73,(3) Wed,0.0,0.07,(01) January,0,12.36,2019-01-09 02:00:00,TP04,34
Fentanyl,0.12,8.33,(4) Thu,0.0,0.06,(01) January,0,11.91,2019-01-10 02:00:00,TP04,34
Fentanyl,0.11,7.95,(5) Fri,0.0,0.06,(01) January,0,10.89,2019-01-11 02:00:00,TP04,34
Fentanyl,0.1,7.34,(6) Sat,0.0,0.05,(01) January,0,8.88,2019-01-12 02:00:00,TP04,34
Fentanyl,0.11,7.5,(7) Sun,0.0,0.05,(01) January,0,9.17,2019-01-13 02:00:00,TP04,34
Norfentanyl,1.5,20.34,(1) Mon,0.01,0.16,(01) January,2,28.76,2019-01-07 02:00:00,TP04,34
Norfentanyl,2.18,29.56,(2) Tue,0.02,0.23,(01) January,3,41.81,2019-01-08 02:00:00,TP04,34
Norfentanyl,1.53,20.84,(3) Wed,0.01,0.16,(01) January,2,29.51,2019-01-09 02:00:00,TP04,34
Norfentanyl,1.99,27.07,(4) Thu,0.02,0.21,(01) January,3,38.72,2019-01-10 02:00:00,TP04,34
Norfentanyl,1.75,23.74,(5) Fri,0.01,0.18,(01) January,2,32.52,2019-01-11 02:00:00,TP04,34
Norfentanyl,1.56,21.25,(6) Sat,0.01,0.14,(01) January,2,25.71,2019-01-12 02:00:00,TP04,34
Norfentanyl,1.3,17.71,(7) Sun,0.01,0.12,(01) January,2,21.64,2019-01-13 02:00:00,TP04,34
Heroin,0.01,28.31,(1) Mon,0.0,0.22,(01) January,0,40.02,2019-01-07 02:00:00,TP04,34
Heroin,0.01,22.74,(2) Tue,0.0,0.18,(01) January,0,32.16,2019-01-08 02:00:00,TP04,34
Heroin,0.01,25.14,(3) Wed,0.0,0.19,(01) January,0,35.6,2019-01-09 02:00:00,TP04,34
Heroin,0.01,23.39,(4) Thu,0.0,0.18,(01) January,0,33.45,2019-01-10 02:00:00,TP04,34
Heroin,0.02,39.2,(5) Fri,0.0,0.29,(01) January,0,53.71,2019-01-11 02:00:00,TP04,34
Heroin,0.01,24.25,(6) Sat,0.0,0.16,(01) January,0,29.34,2019-01-12 02:00:00,TP04,34
Heroin,0.01,24.84,(7) Sun,0.0,0.17,(01) January,0,30.35,2019-01-13 02:00:00,TP04,34
6-Acetylmorphine,0.0,17.05,(1) Mon,0.0,0.13,(01) January,0,24.1,2019-01-07 02:00:00,TP04,34
6-Acetylmorphine,0.0,12.54,(2) Tue,0.0,0.1,(01) January,0,17.73,2019-01-08 02:00:00,TP04,34
6-Acetylmorphine,0.0,13.73,(3) Wed,0.0,0.11,(01) January,0,19.44,2019-01-09 02:00:00,TP04,34
6-Acetylmorphine,0.0,15.27,(4) Thu,0.0,0.12,(01) January,0,21.84,2019-01-10 02:00:00,TP04,34
6-Acetylmorphine,0.01,41.75,(5) Fri,0.0,0.31,(01) January,0,57.19,2019-01-11 02:00:00,TP04,34
6-Acetylmorphine,0.0,15.04,(6) Sat,0.0,0.1,(01) January,0,18.2,2019-01-12 02:00:00,TP04,34
6-Acetylmorphine,0.0,16.5,(7) Sun,0.0,0.11,(01) January,0,20.16,2019-01-13 02:00:00,TP04,34
Oxycodone,0.0,0.01,(2) Tue,0.0,0.08,(02) Feb,1,14.34,2019-02-19 02:00:00,TP04,40
Oxycodone,0.0,0.05,(3) Wed,0.02,0.38,(02) Feb,5,68.89,2019-02-20 02:00:00,TP04,40
Oxycodone,0.0,0.04,(4) Thu,0.01,0.35,(02) Feb,2,64.64,2019-02-21 02:00:00,TP04,40
Oxycodone,0.0,0.04,(5) Fri,0.02,0.33,(02) Feb,3,60.37,2019-02-22 02:00:00,TP04,40
Oxycodone,0.0,0.02,(6) Sat,0.02,0.11,(02) Feb,4,19.4,2019-02-23 02:00:00,TP04,40
Oxycodone,0.0,0.01,(7) Sun,0.01,0.07,(02) Feb,1,13.31,2019-02-24 02:00:00,TP04,40
Noroxycodone,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(02) Feb,-10000,-9999.99,2019-02-19 02:00:00,TP04,40
Noroxycodone,0.0,0.06,(3) Wed,0.02,0.44,(02) Feb,4,81.33,2019-02-20 02:00:00,TP04,40
Noroxycodone,0.0,0.07,(4) Thu,0.0,0.55,(02) Feb,1,101.13,2019-02-21 02:00:00,TP04,40
Noroxycodone,0.01,0.06,(5) Fri,0.04,0.45,(02) Feb,7,82.06,2019-02-22 02:00:00,TP04,40
Noroxycodone,0.0,0.03,(6) Sat,0.01,0.18,(02) Feb,2,33.28,2019-02-23 02:00:00,TP04,40
Noroxycodone,0.0,0.02,(7) Sun,0.01,0.12,(02) Feb,1,22.34,2019-02-24 02:00:00,TP04,40
Codeine,0.01,0.1,(2) Tue,0.08,0.77,(02) Feb,15,140.95,2019-02-19 02:00:00,TP04,40
Codeine,0.0,0.11,(3) Wed,0.03,0.84,(02) Feb,5,154.68,2019-02-20 02:00:00,TP04,40
Codeine,0.0,0.13,(4) Thu,0.01,1.03,(02) Feb,1,189.76,2019-02-21 02:00:00,TP04,40
Codeine,0.0,0.11,(5) Fri,0.0,0.87,(02) Feb,0,159.16,2019-02-22 02:00:00,TP04,40
Codeine,0.0,0.05,(6) Sat,0.01,0.33,(02) Feb,2,60.03,2019-02-23 02:00:00,TP04,40
Codeine,0.0,0.06,(7) Sun,0.02,0.39,(02) Feb,4,71.59,2019-02-24 02:00:00,TP04,40
Fentanyl,0.0,0.03,(2) Tue,0.0,0.22,(02) Feb,0,39.79,2019-02-19 02:00:00,TP04,40
Fentanyl,0.0,0.03,(3) Wed,0.01,0.25,(02) Feb,2,45.8,2019-02-20 02:00:00,TP04,40
Fentanyl,0.0,0.01,(4) Thu,0.0,0.1,(02) Feb,0,18.95,2019-02-21 02:00:00,TP04,40
Fentanyl,0.0,0.01,(5) Fri,0.0,0.06,(02) Feb,0,11.05,2019-02-22 02:00:00,TP04,40
Fentanyl,0.0,0.0,(6) Sat,0.0,0.02,(02) Feb,0,4.11,2019-02-23 02:00:00,TP04,40
Fentanyl,0.0,0.0,(7) Sun,0.0,0.02,(02) Feb,0,4.07,2019-02-24 02:00:00,TP04,40
Norfentanyl,0.0,0.01,(2) Tue,0.0,0.04,(02) Feb,0,7.89,2019-02-19 02:00:00,TP04,40
Norfentanyl,0.0,0.02,(3) Wed,0.01,0.19,(02) Feb,2,35.31,2019-02-20 02:00:00,TP04,40
Norfentanyl,0.0,0.02,(4) Thu,0.01,0.14,(02) Feb,2,24.92,2019-02-21 02:00:00,TP04,40
Norfentanyl,0.0,0.01,(5) Fri,0.0,0.09,(02) Feb,0,15.97,2019-02-22 02:00:00,TP04,40
Norfentanyl,0.0,0.0,(6) Sat,0.0,0.02,(02) Feb,1,4.29,2019-02-23 02:00:00,TP04,40
Norfentanyl,0.0,0.0,(7) Sun,0.0,0.02,(02) Feb,0,3.01,2019-02-24 02:00:00,TP04,40
Heroin,-9999.99,-9999.99,(2) Tue,-9999.99,-9999.99,(02) Feb,-10000,-9999.99,2019-02-19 02:00:00,TP04,40
Heroin,0.0,0.01,(3) Wed,0.01,0.09,(02) Feb,1,15.77,2019-02-20 02:00:00,TP04,40
Heroin,0.0,0.01,(4) Thu,0.0,0.08,(02) Feb,0,14.96,2019-02-21 02:00:00,TP04,40
Heroin,0.0,0.01,(5) Fri,0.01,0.11,(02) Feb,2,19.67,2019-02-22 02:00:00,TP04,40
Heroin,0.0,0.03,(6) Sat,0.0,0.18,(02) Feb,0,32.99,2019-02-23 02:00:00,TP04,40
Heroin,0.0,0.01,(7) Sun,0.01,0.08,(02) Feb,1,14.28,2019-02-24 02:00:00,TP04,40
6-Acetylmorphine,0.0,0.02,(2) Tue,0.0,0.12,(02) Feb,0,22.61,2019-02-19 02:00:00,TP04,40
6-Acetylmorphine,0.0,0.02,(3) Wed,0.0,0.14,(02) Feb,0,26.1,2019-02-20 02:00:00,TP04,40
6-Acetylmorphine,0.0,0.01,(4) Thu,0.0,0.12,(02) Feb,0,21.94,2019-02-21 02:00:00,TP04,40
6-Acetylmorphine,0.0,0.02,(5) Fri,0.0,0.16,(02) Feb,1,29.0,2019-02-22 02:00:00,TP04,40
6-Acetylmorphine,0.0,0.02,(6) Sat,0.0,0.16,(02) Feb,0,28.45,2019-02-23 02:00:00,TP04,40
6-Acetylmorphine,0.0,0.01,(7) Sun,0.01,0.1,(02) Feb,1,17.57,2019-02-24 02:00:00,TP04,40
Oxycodone,0.0,0.03,(1) Mon,0.01,0.21,(02) Feb,2,39.04,2019-02-25 02:00:00,TP04,41
Noroxycodone,0.0,0.04,(1) Mon,0.02,0.31,(02) Feb,4,56.01,2019-02-25 02:00:00,TP04,41
Codeine,0.01,0.09,(1) Mon,0.07,0.75,(02) Feb,13,137.7,2019-02-25 02:00:00,TP04,41
Fentanyl,0.0,0.0,(1) Mon,0.0,0.04,(02) Feb,0,6.53,2019-02-25 02:00:00,TP04,41
Norfentanyl,0.0,0.01,(1) Mon,0.0,0.04,(02) Feb,0,7.93,2019-02-25 02:00:00,TP04,41
Heroin,0.0,0.02,(1) Mon,0.0,0.12,(02) Feb,1,22.18,2019-02-25 02:00:00,TP04,41
6-Acetylmorphine,0.0,0.02,(1) Mon,0.0,0.13,(02) Feb,1,23.64,2019-02-25 02:00:00,TP04,41
Oxycodone,4.56,53.51,(1) Mon,0.03,0.41,(03) Mar,6,74.35,2019-03-11 03:00:00,TP04,43
Oxycodone,2.34,41.51,(2) Tues,0.02,0.32,(03) Mar,3,59.26,2019-03-12 03:00:00,TP04,43
Oxycodone,0.72,57.45,(3) Wed,0.01,0.44,(03) Mar,1,80.14,2019-03-13 03:00:00,TP04,43
Oxycodone,2.0,70.31,(4) Thu,0.02,0.53,(03) Mar,3,97.73,2019-03-14 03:00:00,TP04,43
