LicenseNumber,Phone,BusinessName,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty
020093800,(401) 765-1500,CVS/PHARMACY #3035,212 WEST BAGLEY ROAD,BEREA,OH,44017,Cuyahoga
020115950,(401) 765-1500,CVS/PHARMACY #3301,28100 CHAGRIN BLVD,WOODMERE,OH,44122,Cuyahoga
020167150,(401) 765-1500,CVS/PHARMACY #3314,4240 PEARL ROAD,CLEVELAND,OH,44109,Cuyahoga
020143850,(401) 765-1500,CVS/PHARMACY #3322,2007 BROOKPARK ROAD,CLEVELAND,OH,44109,Cuyahoga
020114700,(401) 765-1500,CVS/PHARMACY #3329,11706 CLIFTON BLVD.,LAKEWOOD,OH,44107,Cuyahoga
020131150,(401) 765-1500,CVS/PHARMACY #3332,14000 RIDGE ROAD,NORTH ROYALTON,OH,44133,Cuyahoga
020158500,(401) 765-1500,CVS/PHARMACY #3333,3171 WEST BLVD.,CLEVELAND,OH,44111,Cuyahoga
020114300,(401) 765-1500,CVS/PHARMACY #3334,7259 PEARL ROAD,MIDDLEBURG HEIGHTS,OH,44130,Cuyahoga
020114500,(401) 765-1500,CVS/PHARMACY #3337,3825 MONTICELLO BLVD,CLEVELAND HEIGHTS,OH,44121,Cuyahoga
020146950,(401) 765-1500,CVS/PHARMACY #3338,22001 LAKESHORE BLVD,EUCLID,OH,44123,Cuyahoga
020171650,(401) 765-1500,CVS/PHARMACY #3339,23351 LORAIN ROAD,NORTH OLMSTED,OH,44070,Cuyahoga
020114600,(401) 765-1500,CVS/PHARMACY #3340,15501 DETROIT AVENUE,LAKEWOOD,OH,44107,Cuyahoga
020174100,(401) 765-1500,CVS/PHARMACY #3343,1491 SOM CENTER ROAD,MAYFIELD HEIGHTS,OH,44124,Cuyahoga
020114650,(401) 765-1500,CVS/PHARMACY #3346,17120 CHAGRIN BLVD.,SHAKER HEIGHTS,OH,44120,Cuyahoga
020118150,(401) 765-1500,CVS/PHARMACY #3347,13956 CEDAR ROAD,UNIVERSITY HEIGHTS,OH,44118,Cuyahoga
020114100,(401) 765-1500,CVS/PHARMACY #3359,33840 AURORA ROAD,SOLON,OH,44139,Cuyahoga
020821300,(401) 765-1500,CVS/PHARMACY #3634,2160 LEE ROAD,CLEVELAND HEIGHTS,OH,44118,Cuyahoga
020816550,(401) 765-1500,CVS/PHARMACY #3645,7710 CHIPPEWA ROAD,BRECKSVILLE,OH,44141,Cuyahoga
020796300,(401) 765-1500,CVS/PHARMACY #3697,19950 DETROIT ROAD,ROCKY RIVER,OH,44116,Cuyahoga
020758800,(401) 765-1500,CVS/PHARMACY #3817,7412 STATE ROAD,PARMA,OH,441344998,Cuyahoga
020758750,(714) 224-2988,CVS/PHARMACY #4034,779 S.O.M. CENTER ROAD,MAYFIELD VILLAGE,OH,44143,Cuyahoga
020758650,(401) 765-1500,CVS/PHARMACY #4054,8001 WEST 130TH STREET,NORTH ROYALTON,OH,44133,Cuyahoga
020776200,(401) 765-1500,CVS/PHARMACY #4101,34 SHOPPING PLAZA DRIVE,CHAGRIN FALLS,OH,44022,Cuyahoga
020780600,(401) 765-1500,CVS/PHARMACY #4208,6527 BRECKSVILLE ROAD,INDEPENDENCE,OH,44131,Cuyahoga
020766850,(401) 765-1500,CVS/PHARMACY #4282,3728 PEARL ROAD,CLEVELAND,OH,44109,Cuyahoga
020137550,(401) 765-1500,CVS/PHARMACY #4300,13777 PEARL ROAD,STRONGSVILLE,OH,44136,Cuyahoga
020093300,(401) 765-1500,CVS/PHARMACY #4304,30791 DETROIT ROAD,WESTLAKE,OH,44145,Cuyahoga
020165650,(401) 765-1500,CVS/PHARMACY #4305,840 EUCLID AVENUE,CLEVELAND,OH,44114,Cuyahoga
020139150,(401) 765-1500,CVS/PHARMACY #4316,6301 HARVARD AVENUE,CLEVELAND,OH,44105,Cuyahoga
020081550,(401) 765-1500,CVS/PHARMACY #4320,14025 PURITAS AVE,CLEVELAND,OH,44135,Cuyahoga
020151000,(401) 765-1500,CVS/PHARMACY #4330,140 SOLON ROAD,BEDFORD,OH,44146,Cuyahoga
020146550,(401) 765-1500,CVS/PHARMACY #4338,10022 MADISON AVENUE,CLEVELAND,OH,44102,Cuyahoga
020151050,(401) 765-1500,CVS/PHARMACY #4345,14440 CEDAR ROAD,UNIVERSITY HEIGHTS,OH,44121,Cuyahoga
020181750,(401) 765-1500,CVS/PHARMACY #4347,11223 GRANGER ROAD,GARFIELD HEIGHTS,OH,44125,Cuyahoga
020165100,(401) 765-1500,CVS/PHARMACY #4350,13215 SHAKER SQUARE,CLEVELAND,OH,44120,Cuyahoga
020708050,(401) 765-1500,CVS/PHARMACY #4402,1400 EAST 9TH STREET,CLEVELAND,OH,44114,Cuyahoga
021032100,(401) 765-1500,CVS/PHARMACY #4499,1443 RICHMOND ROAD,LYNDHURST,OH,44124,Cuyahoga
020775700,(401) 765-1500,CVS/PHARMACY #4607,5901 MAYFIELD ROAD,MAYFIELD HEIGHTS,OH,44124,Cuyahoga
020722000,(401) 765-1500,CVS/PHARMACY #4803,8000 EUCLID AVENUE,CLEVELAND,OH,44103,Cuyahoga
020695850,(401) 765-1500,CVS/PHARMACY #4811,27120 BAGLEY ROAD,OLMSTED TOWNSHIP,OH,44138,Cuyahoga
021018700,(401) 765-1500,CVS/PHARMACY #5366,10825 KINSMAN ROAD,CLEVELAND,OH,44104,Cuyahoga
020775650,(401) 765-1500,CVS/PHARMACY #7370,4460 MAYFIELD ROAD,SOUTH EUCLID,OH,44121,Cuyahoga
020775600,(401) 765-1500,CVS/PHARMACY #7371,22909 EMERY ROAD,WARRENSVILLE HEIGHTS,OH,44128,Cuyahoga
020983300,(401) 765-1500,CVS/PHARMACY #7687,20641 FAIRMOUNT BLVD.,SHAKER HEIGHTS,OH,44118,Cuyahoga
020489600,(330) 725-2340,DISCOUNT DRUG MART #28,8191 COLUMBIA ROAD,OLMSTED FALLS,OH,44138,Cuyahoga
020515000,(330) 725-2340,DISCOUNT DRUG MART #31,725 E. 200TH ST.,EUCLID,OH,44119,Cuyahoga
020625350,(330) 725-2340,DISCOUNT DRUG MART #35,6476 YORK ROAD,PARMA HEIGHTS,OH,44130,Cuyahoga
020673350,(330) 725-2340,DISCOUNT DRUG MART #38,6148 DUNHAM ROAD,MAPLE HEIGHTS,OH,44137,Cuyahoga
020709600,(330) 725-2340,DISCOUNT DRUG MART #41,13123 DETROIT AVE.,LAKEWOOD,OH,44107,Cuyahoga
020788200,(330) 725-2340,DISCOUNT DRUG MART #49,5500 WALLINGS RD.,NORTH ROYALTON,OH,44133,Cuyahoga
022046550,(330) 725-2340,DISCOUNT DRUG MART #82,765 ALPHA DRIVE,HIGHLAND HEIGHTS,OH,44143,Cuyahoga
022187700,(330) 725-2340,DISCOUNT DRUG MART #84,13919 PROSPECT ROAD,STRONGSVILLE,OH,44149,Cuyahoga
020138400,(330) 725-2340,DISCOUNT DRUG MART INC. #10,27300 DETROIT ROAD,WESTLAKE,OH,44145,Cuyahoga
020142400,(330) 725-2340,DISCOUNT DRUG MART INC. #15,17815 PURITAS AVE,CLEVELAND,OH,44135,Cuyahoga
020157550,(330) 725-2340,DISCOUNT DRUG MART INC. #17,4170 FULTON RD,CLEVELAND,OH,44144,Cuyahoga
020360950,(330) 725-2340,DISCOUNT DRUG MART INC. #21,3889 E 71 STREET,CLEVELAND,OH,44105,Cuyahoga
020116650,(330) 725-2340,DISCOUNT DRUG MART INC. #5,15412 DETROIT AVENUE,LAKEWOOD,OH,44107,Cuyahoga
020138450,(330) 725-2340,DISCOUNT DRUG MART INC. #8,24485 LORAIN RD,NORTH OLMSTED,OH,44070,Cuyahoga
020157500,(330) 725-2340,"DISCOUNT DRUG MART, INC. #18",6160 BRECKSVILLE ROAD,INDEPENDENCE,OH,44131,Cuyahoga
020140100,216-476-7119,FAIRVIEW GENERAL HOSPITAL HEALTH CENTER PHARMACY,18101 LORAIN AVE.,CLEVELAND,OH,44111,Cuyahoga
021228300,(412) 968-1610,GIANT EAGLE PHARMACY #0204,6000 ROYALTON ROAD,NORTH ROYALTON,OH,44133,Cuyahoga
021403000,(412) 968-1610,GIANT EAGLE PHARMACY #0208,25105 CEDAR ROAD,LYNDHURST,OH,44124,Cuyahoga
021338000,412981610,GIANT EAGLE PHARMACY #0209,900 NORTHFIELD ROAD,BEDFORD,OH,44146,Cuyahoga
021075450,(412) 968-1610,GIANT EAGLE PHARMACY #0217,6869 SOUTHLAND DRIVE,MIDDLEBURG HEIGHTS,OH,44130,Cuyahoga
021591100,(412) 968-1610,GIANT EAGLE PHARMACY #0218,5744 TRANSPORTATION BLVD.,GARFIELD HEIGHTS,OH,44125,Cuyahoga
022363000,(412) 968-1610,GIANT EAGLE PHARMACY #0221,"20160 CENTER RIDGE ROAD, SUITE 201",ROCKY RIVER,OH,44116,Cuyahoga
022318550,(412) 968-1610,GIANT EAGLE PHARMACY #0228,34310 AURORA ROAD,SOLON,OH,44139,Cuyahoga
021899900,(412) 968-1610,GIANT EAGLE PHARMACY #0230,3050 W. 117TH STREET,CLEVELAND,OH,44111,Cuyahoga
021210200,(412) 968-1610,GIANT EAGLE PHARMACY #0440,4401 MAYFIELD ROAD,SOUTH EUCLID,OH,44121,Cuyahoga
021101850,(412) 968-1610,GIANT EAGLE PHARMACY #0465,14650 SNOW ROAD,BROOKPARK,OH,44142,Cuyahoga
021212400,(412) 968-1610,GIANT EAGLE PHARMACY #1216,30275 DETROIT ROAD,WESTLAKE,OH,44145,Cuyahoga
021158650,(412) 968-1610,GIANT EAGLE PHARMACY #1263,15325 EDGECLIFF AVENUE,CLEVELAND,OH,44111,Cuyahoga
021075500,(412) 334-5224,GIANT EAGLE PHARMACY #1297,22160 CENTER RIDGE ROAD,ROCKY RIVER,OH,44116,Cuyahoga
021210250,(412) 968-1610,GIANT EAGLE PHARMACY #2108,50 WEST BRIDGE STREET,BEREA,OH,44017,Cuyahoga
021157500,(412) 968-1610,GIANT EAGLE PHARMACY #4009,1825 SNOW ROAD,PARMA,OH,44134,Cuyahoga
022321100,(412) 968-1610,GIANT EAGLE PHARMACY #4086,15919 PEARL ROAD,STRONGSVILLE,OH,44136,Cuyahoga
022187600,(412) 968-1610,GIANT EAGLE PHARMACY #4088,4343 ROYALTON ROAD,BROADVIEW HEIGHTS,OH,44147,Cuyahoga
021643700,(412) 968-1610,GIANT EAGLE PHARMACY #5810,21593 LORAIN ROAD,FAIRVIEW PARK,OH,44126,Cuyahoga
021917450,(412) 968-1610,GIANT EAGLE PHARMACY #5817,7939 DAY DRIVE,CLEVELAND,OH,44129,Cuyahoga
021643600,(412) 968-1610,GIANT EAGLE PHARMACY #5830,24601 CHAGRIN BLVD.,BEACHWOOD,OH,44122,Cuyahoga
021643800,(412) 968-1610,GIANT EAGLE PHARMACY #5831,14100 DETROIT AVENUE,LAKEWOOD,OH,44107,Cuyahoga
021643550,(412) 968-1610,GIANT EAGLE PHARMACY #5836,6259 MAYFIELD ROAD,MAYFIELD HEIGHTS,OH,44124,Cuyahoga
021075400,(412) 968-1610,GIANT EAGLE PHARMACY #6359,27264 LORAIN ROAD,NORTH OLMSTED,OH,44070,Cuyahoga
021149750,(412) 968-1610,GIANT EAGLE PHARMACY #6376,6300 BIDDULPH ROAD,BROOKLYN,OH,44144,Cuyahoga
021412550,(412) 968-1610,GIANT EAGLE PHARMACY #6388,7400 BROADVIEW ROAD,PARMA,OH,44134,Cuyahoga
021551150,(412) 968-1610,GIANT EAGLE PHARMACY #6414,5321 WARRENSVILLE ROAD,MAPLE HEIGHTS,OH,44137-1908,Cuyahoga
020173700,2162657700,MARC'S,6849 SOUTHLAND DR,MIDDLEBURG HEIGHTS,OH,44130,Cuyahoga
020521700,(216) 265-7700,MARC'S,21661 CENTER RIDGE ROAD,ROCKY RIVER,OH,44116,Cuyahoga
020637600,(216) 265-7700,MARC'S,26393 BROOKPARK ROAD,NORTH OLMSTED,OH,44070,Cuyahoga
020729050,(216) 265-7700,MARC'S,14861 DETROIT,LAKEWOOD,OH,44107,Cuyahoga
020766900,(216) 265-7700,MARC'S,4519 MAYFIELD ROAD,SOUTH EUCLID,OH,44121,Cuyahoga
020805800,(216) 265-7700,MARC'S,7511 W. RIDGEWOOD DRIVE,PARMA,OH,44129,Cuyahoga
020521600,(216) 265-7700,MARC'S PHARMACY,7359 NORTHCLIFF AVENUE,BROOKLYN,OH,44144,Cuyahoga
020535300,(216) 265-7700,MARC'S PHARMACY,6231 SOM CENTER ROAD,SOLON,OH,44139,Cuyahoga
020556600,(216) 265-7700,MARC'S PHARMACY,12650 ROCKSIDE ROAD,GARFIELD HEIGHTS,OH,44125,Cuyahoga
020803550,(216) 265-7700,MARC'S PHARMACY,16224 PEARL ROAD,STRONGSVILLE,OH,44136,Cuyahoga
020968600,(216) 265-7700,MARC'S PHARMACY,6695 EASTGATE DRIVE,MAYFIELD HEIGHTS,OH,44124,Cuyahoga
020968650,(216) 731-7474,MARC'S PHARMACY,22840 LAKESHORE BLVD.,EUCLID,OH,44123,Cuyahoga
021057950,(216) 265-7700,MARC'S PHARMACY,1650 SNOW ROAD,PARMA,OH,44134,Cuyahoga
020509250,(216) 265-7700,MARC'S PHARMACY - 67BH,8003 BROADVIEW ROAD,BROADVIEW HEIGHTS,OH,44147,Cuyahoga
020990300,(216) 265-7700,MARC'S PHARMACY 68KC,17400 LORAIN AVENUE,CLEVELAND,OH,44111,Cuyahoga
021567350,(216) 587-8822,MARYMOUNT FAMILY PHARMACY,12000 MCCRACKEN RD. SUITE 151,GARFIELD HEIGHTS,OH,44125,Cuyahoga
022590250,(216) 778-3362,METROHEALTH BEDFORD PHARMACY,19999 ROCKSIDE RD,BEDFORD,OH,44146,Cuyahoga
022630350,(216) 778-8880,METROHEALTH BRECKSVILLE PHARMACY,9200 TREEWORTH BOULEVARD,BRECKSVILLE,OH,44141,Cuyahoga
022403300,(216) 778-3362,METROHEALTH BROADWAY PHARMACY,6835 BROADWAY AVENUE,CLEVELAND,OH,44105,Cuyahoga
020985550,(216) 778-3362,METROHEALTH BUCKEYE CENTER PHARMACY,2816 EAST 116TH STREET,CLEVELAND,OH,44120,Cuyahoga
022590200,(216) 778-3362,METROHEALTH CLEVELAND HEIGHTS PHARMACY,10 SEVERANCE CIRCLE,CLEVELAND HEIGHTS,OH,44118,Cuyahoga
020035552,(216) 778-8537,METROHEALTH MEDICAL CENTER AMBULATORY PHARMACY,2500 METROHEALTH DRIVE,CLEVELAND,OH,44109,Cuyahoga
022444050,(216) 778-3362,METROHEALTH MIDDLEBURG HEIGHTS PHARMACY METROHEALTH MED CTR - Hospital Pharmacy,7800 PEARL ROAD,MIDDLEBURG HEIGHTS,OH,44130,Cuyahoga
021725950,(216) 778-3362,METROHEALTH OLD BROOKLYN PHARMACY ROOM SM.2-80,4229 PEARL ROAD,CLEVELAND,OH,44109,Cuyahoga
022590150,(216) 778-3362,METROHEALTH PARMA PHARMACY,12301 SNOW ROAD,PARMA,OH,44130,Cuyahoga
020654800,(216) 451-9027,RITE AID #2665,10502 ST. CLAIR AVENUE,CLEVELAND,OH,44108,Cuyahoga
020096050,(216) 721-2020,RITE AID #3043,10090 CHESTER AVENUE,CLEVELAND,OH,44106-1600,Cuyahoga
020150900,(216) 752-4866,RITE AID #3131,20405 CHAGRIN BLVD.,SHAKER HEIGHTS,OH,441225324,Cuyahoga
020185050,(216) 676-5561,RITE AID #3153,15149 SNOW ROAD,BROOKPARK,OH,441422458,Cuyahoga
020185350,(216) 961-9414,RITE AID #3157,3402 CLARK AVENUE,CLEVELAND,OH,441091136,Cuyahoga
020763750,(216) 671-1411,RITE AID #3486,11702 LORAIN AVENUE,CLEVELAND,OH,44111,Cuyahoga
021924400,(216) 383-7600,RITE AID #4071,475 E. 185TH STREET,EUCLID,OH,44119,Cuyahoga
021099350,(440) 717-1697,RITE AID #4764,8085 BROADVIEW ROAD,BROADVIEW HEIGHTS,OH,44147,Cuyahoga
021100900,(440) 871-7117,RITE AID #4975,27175 CENTER RIDGE ROAD,WESTLAKE,OH,441454024,Cuyahoga
021797100,(440) 461-1416,RITE AID #7939,1233 SOM CENTER ROAD,MAYFIELD HEIGHTS,OH,441242050,Cuyahoga
020649250,(216) 431-5643,RITE AID DISCOUNT PHARMACY #2640,5411 SUPERIOR AVENUE,CLEVELAND,OH,441031344,Cuyahoga
020169000,(216) 831-1616,RITE AID DISCOUNT PHARMACY #3041,28600 CHAGRIN BLVD,BEACHWOOD,OH,44122,Cuyahoga
020095050,(440) 884-3549,RITE AID DISCOUNT PHARMACY #3053,5795 STATE ROAD,PARMA,OH,44134,Cuyahoga
020418500,(440) 356-3433,RITE AID DISCOUNT PHARMACY #3056,23709 CENTER RIDGE ROAD,WESTLAKE,OH,44145,Cuyahoga
020162850,(440) 572-0455,RITE AID DISCOUNT PHARMACY #3091,14701 PEARL RD,STRONGSVILLE,OH,44136-5026,Cuyahoga
020159650,(216) 661-5077,RITE AID DISCOUNT PHARMACY #3148,2323 BROADVIEW RD,CLEVELAND,OH,44109,Cuyahoga
020185450,(440) 777-4524,RITE AID DISCOUNT PHARMACY #3155,29000 LORAIN ROAD,NORTH OLMSTED,OH,44070-4016,Cuyahoga
020184900,(216) 662-7470,RITE AID DISCOUNT PHARMACY #3163,21800 LIBBY ROAD,MAPLE HEIGHTS,OH,44137,Cuyahoga
020964250,(216) 521-8826,RITE AID DISCOUNT PHARMACY #4278,16207 DETROIT AVENUE,LAKEWOOD,OH,44107,Cuyahoga
020413050,216-281-6100,RITE AID PHARMACY #1570,6512 FRANKLIN AVENUE,CLEVELAND,OH,441022912,Cuyahoga
022499950,(479) 204-2258,SAM'S CLUB PHARMACY #10-6302,23300 BROADWAY AVENUE,OAKWOOD VILLAGE,OH,44146,Cuyahoga
021208500,(479) 204-2258,SAM'S PHARMACY 10-6305,10250 BROOKPARK ROAD,CLEVELAND,OH,44130,Cuyahoga
022312750,(216) 395-1060,SIGNATURE HEALTH INCORPORATED PHARMACY,21100 SOUTHGATE PARK BOULEVARD,MAPLE HEIGHTS,OH,44137,Cuyahoga
022816050,(216) 831-6466 ext 12296,"SIGNATURE HEALTH, INC.",14701 Detroit Ave 6th Fl,Lakewood,OH,44107-4115,Cuyahoga
022816100,(216) 831-6466,"SIGNATURE HEALTH, INC.",24200 CHAGRIN BLVD.,BEACHWOOD,OH,44122,Cuyahoga
020467800,(440) 816-8412,SOUTHWEST COMMUNITY PHARMACY,18697 E. BAGLEY ROAD,MIDDLEBURG HEIGHTS,OH,44130,Cuyahoga
020766950,(479) 204-2258,WAL-MART PHARMACY 10-2073,10000 BROOKPARK ROAD,BROOKLYN,OH,44130,Cuyahoga
020861100,(479) 204-2258,WAL-MART PHARMACY 10-2266,8585 PEARL ROAD,STRONGSVILLE,OH,44136,Cuyahoga
020890600,(479) 204-2258,WAL-MART PHARMACY 10-2316,24801 BROOKPARK ROAD,NORTH OLMSTED,OH,44070,Cuyahoga
021095200,(479) 204-2258,WAL-MART PHARMACY 10-2362,1868 WARRENSVILLE CENTER ROAD,SOUTH EUCLID,OH,44121,Cuyahoga
021754500,(479) 204-2258,WAL-MART PHARMACY 10-4285,3400 STEELYARD DRIVE,CLEVELAND,OH,44109,Cuyahoga
021414250,(479) 204-2258,WAL-MART PHARMACY 10-5082,8303 WEST RIDGEWOOD DRIVE,PARMA,OH,44129,Cuyahoga
021413250,(479) 204-2258,WAL-MART PHARMACY 10-5083,6594 MAYFIELD ROAD,MAYFIELD HEIGHTS,OH,44124,Cuyahoga
021480600,(847) 527-4251,WALGREENS #01234,6 E. BAGLEY ROAD,BEREA,OH,440172009,Cuyahoga
021546450,8475274251,WALGREENS #02132,6900 ROCKSIDE ROAD,INDEPENDENCE,OH,44131,Cuyahoga
021448300,(847) 527-4251,WALGREENS #02226,5090 TURNEY ROAD,GARFIELD HEIGHTS,OH,44125,Cuyahoga
020799900,2169418702,WALGREENS #03234,4281 W. 130TH STREET,CLEVELAND,OH,44135,Cuyahoga
020800100,(847) 527-4103,WALGREENS #03235,16400 CHAGRIN BLVD.,SHAKER HEIGHTS,OH,44120,Cuyahoga
020800150,8475274251,WALGREENS #03238,14525 EUCLID,EAST CLEVELAND,OH,44112,Cuyahoga
020840400,(847) 527-4251,WALGREENS #03256,11401 UNION AVENUE,CLEVELAND,OH,44105,Cuyahoga
021017850,(847) 527-4251,WALGREENS #03308,4265 STATE ROAD,CLEVELAND,OH,44109,Cuyahoga
020800900,847-527-4251,WALGREENS #03310,16803 LORAIN AVE.,CLEVELAND,OH,44111,Cuyahoga
020800950,8475274251,WALGREENS #03312,22401 LAKE SHORE BLVD.,EUCLID,OH,44123,Cuyahoga
020796400,(847) 527-4251,WALGREENS #03313,5264 LEE ROAD,MAPLE HEIGHTS,OH,44137,Cuyahoga
020885650,847,WALGREENS #03314,5400 PEARL ROAD,PARMA,OH,44129,Cuyahoga
020800050,8475274251,WALGREENS #03326,4365 MAYFIELD ROAD,SOUTH EUCLID,OH,44121,Cuyahoga
021066800,(440) 478-0283,WALGREENS #04130,3020 MAYFIELD ROAD,CLEVELAND HEIGHTS,OH,44118,Cuyahoga
021041450,(847) 527-4251,WALGREENS #04159,6300 PEARL ROAD,PARMA HEIGHTS,OH,44130,Cuyahoga
021086300,(847) 527-4251,WALGREENS #04202,127 E. PLEASANT VALLEY ROAD,SEVEN HILLS,OH,44131,Cuyahoga
021110600,(847) 527-4251,WALGREENS #04684,12777 ROCKSIDE ROAD,GARFIELD HEIGHTS,OH,44125,Cuyahoga
021086350,(847) 527-4251,WALGREENS #04685,2135 WARRENSVILLE CENTER ROAD,SOUTH EUCLID,OH,44121,Cuyahoga
021374800,8475274251,WALGREENS #05031,7260 PEARL ROAD,MIDDLEBURG HEIGHTS,OH,441304873,Cuyahoga
021193000,(847) 527-4251,WALGREENS #05206,11701 DETROIT AVENUE,LAKEWOOD,OH,44107,Cuyahoga
021179150,(847) 527-4251,WALGREENS #05473,25524 CENTER RIDGE ROAD,WESTLAKE,OH,44145,Cuyahoga
021244700,(847) 527-4251,WALGREENS #05550,21010 CENTER RIDGE ROAD,ROCKY RIVER,OH,44116,Cuyahoga
021309700,(847) 527-4251,WALGREENS #06659,4071 LEE ROAD,"CLEVELAND,",OH,44128,Cuyahoga
021354400,(847) 527-4251,WALGREENS #06889,6270 SOM CENTER ROAD,SOLON,OH,441392913,Cuyahoga
021444500,(847) 527-4251,WALGREENS #07474,751 RICHMOND ROAD,RICHMOND HEIGHTS,OH,44143,Cuyahoga
021606550,8475274251,WALGREENS #09073,20200 VAN AKEN BLVD.,SHAKER HEIGHTS,OH,44122,Cuyahoga
021710350,(847) 527-4251,WALGREENS #09407,14815 MADISON AVENUE,LAKEWOOD,OH,441074009,Cuyahoga
021555150,(847) 527-4251,WALGREENS #10029,27251 WOLF ROAD,BAY VILLAGE,OH,441402020,Cuyahoga
021555550,(847) 527-4251,WALGREENS #10032,8966 BRECKSVILLE ROAD,BRECKSVILLE,OH,44141,Cuyahoga
021555300,(847) 527-4251,WALGREENS #10220,520 BROADWAY AVENUE,BEDFORD,OH,441462724,Cuyahoga
021625300,(847) 527-4251,WALGREENS #10328,7888 YORK ROAD,PARMA,OH,44130,Cuyahoga
021555000,(847) 527-4251,WALGREENS #10710,20485 EUCLID AVENUE,EUCLID,OH,44117,Cuyahoga
021886600,(847) 527-4251,WALGREENS #11558,5644 MAYFIELD ROAD,LYNDHURST,OH,44124,Cuyahoga
021917500,(847) 527-4251,WALGREENS #12014,19980 W. 130TH STREET,STRONGSVILLE,OH,44136,Cuyahoga
020790400,(847) 527-4251,WALGREENS #12444,3415 CLARK AVE.,CLEVELAND,OH,44109,Cuyahoga
021917600,(847) 527-4251,WALGREENS #12445,24590 LORAIN ROAD,NORTH OLMSTED,OH,44070,Cuyahoga
022069150,(847) 527-4251,WALGREENS #12634,1415 ROCKSIDE ROAD,PARMA,OH,44134,Cuyahoga
020790450,(847) 527-4251,Walgreens #21252,16100 Lake Shore Blvd,Cleveland,OH,44110-1001,Cuyahoga
020800000,(216) 883-0183,WALGREENS #21317,6579 Broadway Ave,Cleveland,OH,44105-1301,Cuyahoga
022012850,(401) 765-1500,CVS/PHARMACY #6134,1009 EAST MAIN STREET,GREENVILLE,OH,45331,Darke
021227250,(513) 762-1090,KROGER PHARMACY 014833,200 LEASE AVENUE,GREENVILLE,OH,45331,Darke
020752600,(479) 204-2258,WAL-MART PHARMACY 10-2035,1501 WAGNER AVENUE,GREENVILLE,OH,45331,Darke
021637850,(847) 527-4251,WALGREENS #10327,1000 E. MAIN STREET,GREENVILLE,OH,453312802,Darke
021047100,(513) 762-1090,KROGER PHARMACY J-936,1890 E. 2ND STREET,DEFIANCE,OH,43512,Defiance
021180300,(419) 783-2810,MEIJER PHARMACY #189,137 ELLIOTT ROAD,DEFIANCE,OH,43512,Defiance
020361050,(419) 782-0155,RITE AID #2364,618 N. CLINTON STREET,DEFIANCE,OH,43512-1609,Defiance
020170100,(419) 782-7832,RITE AID DISCOUNT PHARMACY #2352,1816 EAST SECOND STREET,DEFIANCE,OH,43512,Defiance
021681750,(479) 204-2258,WAL-MART PHARMACY 10-5385,1804 NORTH CLINTON STREET,DEFIANCE,OH,43512,Defiance
021553400,(847) 527-4251,WALGREENS #09483,1829 N. CLINTON STREET,DEFIANCE,OH,435128555,Defiance
022572550,(401) 765-1500,CVS/PHARMACY # 17666,10560 SAWMILL PKWY,POWELL,OH,43065,Delaware
022012000,(401) 765-1500,CVS/PHARMACY # 6166,6165 GLICK ROAD,POWELL,OH,43065,Delaware
022570750,(401) 765-1500,CVS/PHARMACY #16590,1485 POLARIS PKWY,COLUMBUS,OH,43240,Delaware
022014850,(401) 765-1500,CVS/PHARMACY #2381,9151 SOUTH OLD STATE ROAD,COLUMBUS,OH,43035,Delaware
020729000,(401) 765-1500,CVS/PHARMACY #3364,111 WEST CHERRY STREET,SUNBURY,OH,43074,Delaware
022014100,(401) 765-1500,CVS/PHARMACY #5457,3488 SELDOM SEEN ROAD,POWELL,OH,43065,Delaware
022012450,(401) 765-1500,CVS/PHARMACY #6148,190 SOUTH SANDUSKY STREET,DELAWARE,OH,43015,Delaware
022011950,(401) 765-1500,CVS/PHARMACY #6164,1725 WEST CENTRAL AVE,DELAWARE,OH,43015,Delaware
021278750,(330) 725-2340,DISCOUNT DRUG MART #65,8951 SOUTH OLD STATE ROAD,LEWIS CENTER,OH,43035,Delaware
021232550,(412) 968-1610,GIANT EAGLE PHARMACY #6503,55 MEADOW PARK AVENUE,LEWIS CENTER,OH,43035,Delaware
021642150,(412) 968-1610,GIANT EAGLE PHARMACY #6527,4000 WEST POWELL ROAD,POWELL,OH,43065,Delaware
021261250,(513) 762-1090,KROGER PHARMACY #016804,801 NORTH HOUK ROAD,DELAWARE,OH,43015,Delaware
021292300,(513) 762-1090,KROGER PHARMACY #16898,3975 W. POWELL ROAD,POWELL,OH,43065,Delaware
021912950,(513) 762-1090,KROGER PHARMACY #802,131 STATE ROUTE 3,SUNBURY,OH,43074,Delaware
021995150,(513) 762-1090,KROGER PHARMACY 805,6417 COLUMBUS PIKE,LEWIS CENTER,OH,43035,Delaware
020922800,(513) 762-1090,KROGER PHARMACY N-847,7345 STATE ROUTE 3,WESTERVILLE,OH,43082,Delaware
020751550,(513) 762-1090,KROGER SAV-ON PHARMACY N-857,1840 COLUMBUS PIKE,DELAWARE,OH,43015,Delaware
020888400,(740) 548-0010,MEIJER PHARMACY #143,8870 COLUMBUS PIKE (US 23),LEWIS CENTER,OH,43035,Delaware
021188500,(614) 865-2010,MEIJER PHARMACY #181,100 POLARIS PARKWAY,WESTERVILLE,OH,43082,Delaware
